"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде (с учетом изменений), в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",248321552.23760998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,94676949.79673,7653358.58688,355000,0,0,0,0,7298358.58688,87023591.20985,0,0,87023591.20985,153644602.44088,91385965.77896,53170865.6036,53170865.6036,0,0,2709643.29639,0,0,0,11140053.29357,0,0,0,0,0,0,0,0,0,0,0,19442792.17943,0,291503.37867,19151288.80076,4922611.40597,0,0,4922611.40597,60605224.17852,97000,97000,0,0,0,55841942.93732,0,0,0,0,0,0,0,4489281.2412,0,4489281.2412,0,0,0,0,0,0,177000,,0,0,0,0,0,0,151500,25500,0,1653412.4834,1877.838,47691.45,1603843.1954,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",3219534347310.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,9957651518.52781,3130441030.27885,1377916141.16956,1233400,0,1600280671.17052,0,151010817.93877,6827210488.24896,0,6435805173.66613,391405314.58283,43609480884.8167,34521877495.0668,394499099.17039,332379285.6912,62119813.47919,559498569.14494,359908650.90478,99943984.83951,99635973.09882,308011.74069,669013751.01775,3031828.21136,1524708.20074,0,0,1524708.20074,0,1507120.01062,0,0,1507120.01062,0,31378464444.8531,0,1218647036.58093,30159817408.2722,1057517166.925,33375325.93728,0,1024141840.98772,6376025428.27514,18972468.002,18972468.002,0,0,2000,3438101814,2120727875.726,2118152957.726,2574918,110126973.52676,108885,90285,109927803.52676,139588776.89634,117182357.76,22406419.13634,547735711.72404,37972260.19658,826500,1695530,199900,507041521.52746,769808.4,,0,190000,0,0,0,0,3000,576808.4,2163929813.64637,547648147.82838,363183270.75608,0,184464877.0723,,,,,,,,,0,611742500,444002500,60390000,56670000,50680000,3165355472407,1635547548170,477953889424,1157593658746,269665798,169141814,100523984,25154272,1556868896,1555411616,1457280,786929674055,40469681841,77643071823,28787888949,640029031442,223963319536,517063241680,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",65530662667.48624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2084430613.64847,433613139.59012,8364680.7717,305602.5,0,284674974.97011,0,140267881.34831,1650817474.05835,124769577.63335,1183497833.801,342550062.624,2456431528.83777,2219143220.73141,381891781.46655,381891781.46655,0,13201717.69084,0,0,0,0,651392039.84483,7730,0,0,0,0,0,7730,0,0,7730,0,535041673.16925,0,83443080.48516,451598592.68409,637608278.55994,171949591.67457,101675252.16784,363983434.71753,174789754.44773,40217943.864,40217943.864,0,0,0,100,0,0,0,919398,530000,0,389398,6680009.55,6680009.55,0,124178186.60831,15624680.48891,0,11201602.001,2230600,95121304.1184,2794116.42542,,0,0,0,0,0,0,1500,2792616.42542,17421391.39782,45077162.26081,375254.28533,740683.35969,43961224.61579,,,,,,,,,0,221087500,129567500,4380000,4220000,82920000,60768713025,0,0,0,0,0,0,0,10232325,8079750,2152575,60758480700,6076002375,21802365000,12675451050,20204662275,0,0,0
1216,"Акционерное общество Страховая компания ""Чулпан""",1169689701.04225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,5442817.61064,2696378.24798,0,0,0,1085968.093,0,1610410.15498,2746439.36266,17266.8528,2720633.1174,8539.39246,10608059.43161,9711701.13102,1163765.4868,1163765.4868,0,0,0,0,0,0,2380073.51844,4001.2,0,0,0,0,0,4001.2,0,0,4001.2,0,1028975.22798,0,6877.112,1022098.11598,5134885.6978,2566750.87602,2512118.09212,56016.72966,868086.47957,21515,21515,0,0,0,8200,0,0,0,17320.02,12000,0,5320.02,0,0,0,795551.45957,266777.112,0,5170,0,523604.34757,25500,,0,0,0,0,0,0,25500,0,0,28271.82102,0,0,28271.82102,,,,,,,,,0,17945000,10505000,0,7060000,380000,1135693824,0,0,0,0,0,0,0,0,0,0,1135693824,439459840,653856768,42377216,0,0,0,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",103452741704.35884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1474557077.19412,333634093.41912,35523699.6998,44144250,0,0,0,253966143.71932,1140922983.775,797535751.775,191239612,152147620,5433991251.16472,4134165898.35846,369894368.552,369894368.552,0,3658483.602,0,1824295.004,1824295.004,0,3339540554.8216,0,0,0,0,0,0,0,0,0,0,0,226166997.05996,27572727.54084,25456883.18715,173137386.33197,193081199.3189,18650839.651,149654218.117,24776141.5509,140511078.09782,24958872,24958872,0,0,0,0,101602.6,101602.6,0,0,0,0,0,1801030,1801030,0,113649073.49782,862426.5051,0,42300,3000,112741346.99272,500,,0,0,0,0,0,0,500,0,0,1159314274.70844,277734620.445,0,881579654.26344,,,,,,,,,0,23260000,16780000,700000,300000,5480000,96520933376,45264896000,0,45264896000,0,0,0,24410112,0,0,0,51231627264,4273260544,22341316608,2342100992,22274949120,0,0,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",37881083207.54555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,941136117.11248,634622721.09012,492321345.44189,23772209.09988,0,68205.96756,0,118460960.58079,306513396.02236,0,245999688.82235,60513707.20001,1423511630.43307,916122508.71118,197223866.91786,197223866.91786,0,26478085.56828,779392.20766,46242086.85129,45876183.45129,365903.4,205708644.89539,3213597.92938,2125635.642,976219.675,0,1149415.967,0,1087962.28738,0,0,1087962.28738,0,354380321.47095,21886594.12306,98598053.57004,233895673.77785,82096512.87037,5265311.30061,5846843.31294,70984358.25682,487164900.64168,11111850,11111850,0,0,0,1165163.93667,455887109.076,455787109.076,100000,17500,0,0,17500,37160,37160,0,18642999.1734,6816288.02236,0,286700,0,11540011.15104,303118.45561,,0,120000,0,3000,0,0,107500,72618.45561,2449734.79244,17774486.28777,1456839.63512,0,16317646.65265,,,,,,,,,0,26602500,17122500,0,1040000,8440000,35489832960,0,0,0,7124992,0,7124992,6656000,163362816,163362816,0,35312689152,2041092096,1651347456,6471831552,25148418048,0,0,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",139214704.63634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,80334083.13383,222168.26443,0,0,0,22105,0,200063.26443,80111914.8694,0,79913599.4394,198315.43,58880621.50251,56840971.50251,1563081.508,1563081.508,0,0,0,0,0,0,54641828.68755,0,0,0,0,0,0,0,0,0,0,0,465011.02856,50000,0,415011.02856,171050.2784,162972.2784,8078,0,92750,14400,14400,0,0,0,0,0,0,0,0,0,0,0,36700,36700,0,41650,0,0,0,0,41650,0,,0,0,0,0,0,0,0,0,0,1946900,1946900,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,АКЦИОНЕРНОЕ ОБЩЕСТВО «АСТРАМЕД-МС» (СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ),74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",180629281.99312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,79773895.43678,61765312.12178,448730.38,0,0,0,0,61316581.74178,18008583.315,10756312.707,0,7252270.608,100855386.55634,10929526.56148,4014581.23177,4014581.23177,0,0,0,0,0,0,2151823.44201,0,0,0,0,0,0,0,0,0,0,0,3295066.08627,0,0,3295066.08627,1468055.80143,0,1394345.79658,73710.00485,4217071.46315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494678.87315,0,0,0,0,494678.87315,3722392.59,,0,0,0,0,0,0,20000,3702392.59,0,85708788.53171,177676.44911,0,85531112.0826,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",43039678926.05605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2438711770.23582,2436479180.16382,5929634.72015,772000,0,2375538186.7,0,54239358.74367,2232590.072,0,1859325.072,373265,2183658131.82023,2142131684.88048,26374709.73333,26122464.75563,252244.9777,23282780.65424,0,52639.44712,0,52639.44712,3031487.99268,0,0,0,0,0,0,0,0,0,0,0,12570221.12731,0,1075343.01607,11494878.11124,2076819845.9258,584117.55031,406249.33248,2075829479.04301,16719270.99053,7827140.75069,7827140.75069,0,0,0,1300,16780,16780,0,220903.46318,0,0,220903.46318,69500,69500,0,4461822.33466,421097.56379,947200,293600,10000,2789924.77087,4121824.442,,4000,0,0,0,0,0,0,4117824.442,1338129.56304,23469046.38618,5826075.69995,0,17642970.68623,,,,,,,,,0,14620000,9695000,55000,210000,4660000,38402689024,0,0,0,0,0,0,0,10240000,10240000,0,38025570304,2240289109.33333,5928540501.33333,1186095104,28670645589.3333,366878720,0,0
1580,Общество с ограниченной ответственностью «РБ Страхование»,33005072.893260002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,18528522.47118,8344129.40668,0,0,0,0,0,8344129.40668,10184393.0645,10184393.0645,0,0,14476550.42208,12360648.42208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12360648.42208,0,0,12360648.42208,1065950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065950,0,0,0,0,1065950,0,,0,0,0,0,0,0,0,0,0,1049952,0,0,1049952,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",815975.69143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,163582,163582,0,0,0,0,0,163582,0,0,0,0,652393.69143,638043.69143,66456.927,66456.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468229.18,0,0,468229.18,103357.58443,86918.08443,8742.3,7697.2,14350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14350,0,0,0,0,14350,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",2933317367.95428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2369203343.32337,425295669.62437,308467872.7685,0,0,0,0,116827796.85587,1943907673.699,1545664673.699,0,398243000,564114024.63091,218665695.96993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218665695.96993,0,0,218665695.96993,203900959.0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203900959.0157,0,0,0,0,203900959.0157,0,,0,0,0,0,0,0,0,0,0,141547369.64528,7634.37555,0,141539735.26973,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",5340416129.36161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1264677747.7991,295472151.39701,6381191.81795,4569150,0,7092970.418,0,277428839.16106,969205596.40209,859287807.437,98068837.097,11848951.86809,3054256421.56251,2905342495.77431,101689909.19916,101689909.19916,0,1256301.456,0,0,0,0,302538062.74413,0,0,0,0,0,0,0,0,0,0,0,248446327.17525,44356698.77511,30444039.46461,173645588.93553,2251411895.19977,4189495.73838,1487204.39271,2245735195.06868,67156496.01825,6612400,6612400,0,0,0,0,0,0,0,460035.99306,0,0,460035.99306,659050,0,659050,58334367.20646,31090412.68533,0,300,75000,27168654.52113,1090642.81873,,0,160000,0,0,0,0,1000,929642.81873,60457675.42599,21299754.34396,1917699.06375,0,19382055.28021,,,,,,,,,0,2305000,2305000,0,0,0,1019176960,0,0,0,0,0,0,0,0,0,0,1019176960,0,0,0,1019176960,0,0,0
1820,"Акционерное общество ""ГУТА-Страхование""",17275816.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,323000,26000,0,0,0,26000,0,0,297000,0,292000,5000,16952816.372,16592816.372,19386.13615,0,19386.13615,0,0,0,0,0,2862555.51883,0,0,0,0,0,0,0,0,0,0,0,13710874.71702,0,0,13710874.71702,0,0,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360000,0,0,0,0,360000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",160214416946.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,410452736.061,313659093.95,47225664.721,2279050,248000,31827689.452,100,232078589.777,96793642.111,0,6719189.378,90074452.733,432684984.999,390019908.777,51383220.605,48569473.736,2813746.869,505628.849,125152,241650,241650,0,47269818.286,1178822.723,821825.514,263096.854,0,558728.66,0,356997.209,0,0,356997.209,0,198804642.791,0,27514048.708,171290594.083,90510973.523,13385848.308,66334332.598,10790792.617,35541276.942,3540950,3531950,0,9000,0,7300,1579972.703,1579972.703,0,207750,100,0,207650,787882,787882,0,28886277.807,3325041.164,0,2332300,13000,23215936.643,531144.432,,0,0,0,0,0,0,168500,362644.432,2177332.359,4946466.921,0,0,4946466.921,,,,,,,,,0,82452500,59892500,0,1460000,21100000,159288826725,0,0,0,0,0,0,29222775,240017175,238792050,1225125,142766329275,54467194500,18098842500,5116365000,65083927275,0,16253257500,0
1858,"Акционерное общество Страховая компания ""Армеец""",2599091.02581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,241302.84624,144537.09124,0,0,0,28530,0,116007.09124,96765.755,16365.755,0,80400,2357788.17957,1787848.17957,1075200,1075200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423740.59019,2682.3,0,421058.29019,288907.58938,244498.49738,43337.092,1072,569940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569940,0,0,0,0,569940,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
