"Сведения о страховых премиях по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",232.19519,231.05811,0,1.1370799999999999,1.1370799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",211066.38147,113641.67076,0,97424.71071,93740.90857,0,0,3683.8021400000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3941,"Общество с ограниченной ответственностью ""СМП-Страхование""",191934.67256,0,0,39897.409179999995,39897.409179999995,0,0,0,152037.26338000002,146120.7897,7590.8279299999995,356.18906,2614.56535,1263.6619600000001,2264.86604,0,0,128657.7679,3372.9114600000003,4601.44729,0,0,0,0,21.42509,299.96202999999997,0,0,4280.06017,0,0,1315.02639,,0,0,0,0
3947,"Акционерное общество ""АИГ страховая компания""",686599.3145399999,0,0,0,0,0,0,0,685929.3627299999,264817.34592,0,0,0,0,143058.21485000002,0,0,121759.13106999999,0,235685.26964,1838.5901600000002,1838.5901600000002,0,0,0,0,0,0,233846.67948,0,0,185426.74717,,0,669.95181,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",504597.83464,0,0,287755.80845,1537.97512,0,0,286217.83333,158559.5107,145329.0209,2427.84,0,0,1802.03018,10584.00909,119813.95335000001,114987.19896,10628.9915,72.19678,11230.48982,0,0,0,0,0,66.96076,0,1686.91488,5199.99999,4276.61419,0,1999.9999799999998,,58282.51549,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",650667.48684,0,0,18920.944290000003,18920.944290000003,-498.35974,0,0,631746.54255,283410.31237,0,0,0,0,95819.02676,0,0,187042.63529,548.6503200000001,287164.41026000003,0,0,0,0,0,0,0,1268.20305,285896.20721,0,45580.78191,15591.03801,,0,0,0,0
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",-688880.4568500001,-552246.79728,0,-136633.65957,-121665.54706,0,0,-14968.112509999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",16434.392490000002,5963.4047,0,10470.987790000001,10470.987790000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3987,"Акционерное общество Страховая компания ""УРАЛСИБ Жизнь""",2162.33439,2162.33439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3998,"Общество с ограниченной ответственностью ""Страховая Компания Чабб Жизнь""",143.48457000000002,0,0,143.48457000000002,143.48457000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",16903.62429,16903.62429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4014,Акционерное общество «Страховая компания «Ю-Лайф»,12163.619620000001,10935.65371,0,1227.96591,237.68258,0,0,990.28333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4079,Общество с ограниченной ответственностью «РБ Страхование Жизни»,-10181.88084,-9726.05639,0,-455.82445,-26.60985,0,0,-429.2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4105,Общество с ограниченной ответственностью «Совкомбанк страхование жизни»,126977.08236,90370.72012,0,36606.36224,25046.127210000002,0,0,11560.23503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4117,"Общество с ограниченной ответственностью ""Страховая компания ""Кредит Европа Лайф""",22625.09711,0,0,22625.09711,22625.09711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4133,Общество с ограниченной ответственностью Страховая компания ЭчДиАй Глобал,685380.91926,0,0,3217.69809,3217.69809,0,0,0,682163.22117,402161.22689999995,0,0,0,0,137842.75175,0,0,264318.47514999995,0,223597.72978,0,0,0,0,0,0,0,99806.03181,123791.69797000001,0,56404.26449,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",900877.42661,0,0,10513.11174,6648.17262,0,0,3864.93912,890364.31487,852794.76751,149949.9961,-598.41332,-4054.4116099999997,16008.99398,18126.81507,-12145.85844,0,685507.64573,0,34863.636829999996,658.07707,1178.64247,0,0,-885.25894,0,0,0,33469.36573,1621.45297,0,2705.91053,,0,0,0,0
4179,"Общество с ограниченной ответственностью ""Страховая компания ""Райффайзен Лайф""",38820.88016,22572.748069999998,0,16248.13209,7339.46915,0,0,8908.662939999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",518281.01782,0,0,0,0,0,0,0,518281.01782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516118.48363000003,2162.5341900000003,,0,0,0,0
4209,"Общество с ограниченной ответственностью ""Кофас Рус Страховая Компания""",294267.88315999997,0,0,0,0,0,0,0,294267.88315999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294267.88315999997,0,,0,0,0,0
4293,"Общество с ограниченной ответственностью ""Страховая Компания ""Ойлер Гермес Ру""",351966.50905,0,0,0,0,0,0,0,351966.50905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351966.50905,0,,0,0,0,0
4326,"Общество с ограниченной ответственностью ""Крымская первая страховая компания""",377839.22808,0,0,20.2102,20.2102,0,0,0,377819.01788,325605.25288000004,11408.05748,11877.26453,0,139296.20323,8653.53766,0,0,154211.72478,158.4652,52213.765,0,0,0,0,0,40657.123230000005,3330.78904,0,8225.85273,0,0,0,,0,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",3432045.45861,0,0,-14276.988169999999,2234.80112,0,0,-16511.78929,3342368.31613,1608640.44925,8144.71979,11047.35484,156606.15174,145949.81854,25335.27571,238489.97516999996,189544.68421,1022509.41596,557.7375,310547.37225,0,0,0,0,31200.42759,14417.364790000001,15439.96048,19.486259999999998,249470.13313,0,1209079.32972,214101.16491,,100607.51003,1383.39399,1963.2266300000001,0
4334,"Общество с ограниченной ответственностью ""Атрадиус Рус Кредитное Страхование""",1487861.93657,0,0,0,0,0,0,0,1487861.93657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487861.93657,0,,0,0,0,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",-130392.17762000002,0,0,0,0,0,0,0,-130392.17762000002,-104580.92874999999,0,0,0,0,0,0,0,-104580.92874999999,0,-155.51851,0,0,0,0,0,0,0,-154.7507,-0.76781,0,0,-25655.73036,,0,0,0,0
4359,"Некоммерческая корпоративная организация Потребительское общество взаимного страхования ""Страховой дом ""Платинум""",52.676359999999995,0,0,0,0,0,0,0,52.676359999999995,52.676359999999995,52.676359999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4360,"Некоммерческая корпоративная организация Потребительское общество взаимного страхования ""Эталон""",19.77785,0,0,0,0,0,0,0,19.77785,19.77785,19.77785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4365,Общество с ограниченной ответственностью Страховая компания «БКС Страхование жизни»,1035.49079,1022.9635900000001,0,12.5272,0,0,0,12.5272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4372,Общество с ограниченной ответственностью «Страховая компания «Манго»,12760.71998,0,0,0,0,0,0,0,12760.71998,12500.330039999999,0,0,0,0,0,0,0,0,12500.330039999999,260.38993999999997,0,0,0,0,0,0,0,0,260.38993999999997,0,0,0,,0,0,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",81018.14689,0,0,0,0,0,0,0,81018.14689,81853.21867999999,0,-748.18253,-17146.22755,217.60716,-76.63308,317.1239,0,87843.00133000001,11446.52945,-9752.588469999999,0,0,0,0,-12343.920629999999,80.12178,0,0,2965.22898,-454.0186,1403.8538,7513.66288,,0,0,0,0
4379,"Некоммерческая корпоративная организация ""Потребительское общество взаимного страхования транспортной отрасли""",16271.605310000003,0,0,0,0,0,0,0,16271.605310000003,8030.5827500000005,2516.3876,0,0,0,5514.19515,0,0,0,0,8240.12543,0,0,0,0,0,0,0,0,0,8240.12543,0,0.89713,,0,0,0,0
4380,Общество с ограниченной ответственностью РНКБ Страхование,8489.19617,0,0,0,0,0,0,0,8489.19617,8242.63575,46.90114,0,0,0,0,0,0,8195.734610000001,0,75.49698000000001,0,0,0,0,0,0,0,0,75.49698000000001,0,0,171.06344,,0,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
