"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
3828,"Общество с ограниченной ответственностью Страховая компания ""Альянс Жизнь""",3982895.91335,937588.12274,74.46363,3045233.32698,46520.68138,0,0,2998712.6456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",1669.89905,0,0,1493.18448,532.09,532.09,0,961.09448,176.71457,-40.65888,0,0,-26.8224,0,32.27611,0,0,-119,72.88741,128,0,0,0,0,0,0,4.3,123.7,0,89.37345,,0,0,0,0
3837,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-М""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",497360.53282,491921.50251,0,5439.03031,5439.03031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",179348.19027,0,0,46150.43583,44908.22484,0,0,1242.21099,133197.75444,112413.69739,4437.09088,0,5194.92877,0,10.08,4600.10066,0,6970.54499,91200.95209,20666.00618,0,0,10,0,0,34.155,20621.85118,0,0,118.05087,,0,0,0,0
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",84203.70248,75964.65037,0,8239.05211,8239.05211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",4011126.99399,3891073.45374,0,120053.54025,92738.84166,0,0,27314.69859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3941,"Общество с ограниченной ответственностью ""СМП-Страхование""",115847.1991,0,0,55678.41115,25009.03149,0,0,30669.37966,60168.78795,56209.43932,23387.97057,395.02216,0,43.55843,0,0,0,26285.10206,6097.7861,1065.85184,2.4,0,0,0,0,0,1063.45184,0,0,2893.49679,,0,0,0,0
3943,"Общество с ограниченной ответственностью ""Страховая компания ""АК БАРС-Мед""",13052.19163,0,0,13052.19163,0,0,0,13052.19163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3947,"Акционерное общество ""АИГ страховая компания""",102625.47469,0,0,0,0,0,0,0,102283.72469,70084.118,0,0,0,0,22121.62861,0,0,47962.48939,0,3062.59644,1538.58618,0,0,0,0,0,1524.01026,0,0,29137.01025,,0,341.75,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",713460.88857,0,0,336950.45427,73559.19488,0,0,263391.25939,250383.24341,196367.8003,76413.86344,0,0,2758.70507,43075.7572,6075.60244,1375.7123,43191.12336,24852.74879,38865.92055,621.00468,0,0,1887.89945,0,8521.24444,27566.93198,268.84,0,15149.52256,,126127.19089,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",109687.32178999999,0,0,2629.2747,2629.2747,0,0,0,107058.04709,38315.53757,0,0,0,0,12353.05836,0,0,24298.32497,1664.15424,61845.50485,0,0,0,0,0,116.24394,61729.26091,0,6778.51018,118.49449,,0,0,0,0
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",6728098.76759,6498220.72073,0,229878.04686,166070.03696,0,0,63808.0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",5563930.49068,4282653.69038,57413.14021,1223863.66009,555425.01031,15704.17731,0,668438.64978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3987,"Акционерное общество Страховая компания ""УРАЛСИБ Жизнь""",971129.2596999999,971097.16008,0,32.09962,0,0,0,32.09962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3998,"Общество с ограниченной ответственностью ""Страховая Компания Чабб Жизнь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4001,"Общество с ограниченной ответственностью Страховая компания ""Чулпан-Жизнь""",85236.67519000001,84219.31254,639.23686,378.12579,378.12579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4008,"Общество с ограниченной ответственностью ""Общество страхования жизни ""РЕСО-Гарантия""",25532.27653,24037.88283,0,1494.3937,1494.3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4009,"Акционерное общество ""ЕРВ Туристическое Страхование""",298165.42093,0,0,117772.40799,194.8592,0,0,117577.54879,180393.01294,199.20649,0,0,0,0,0,0,0,0,199.20649,63.44652,0,0,0,0,0,0,63.44652,0,0,180130.35993,,0,0,0,0
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",828656.7598,828656.7598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4014,"Акционерное общество ""Страховая компания ""Югория-Жизнь""",346011.14574,202596.81466,0,143414.33108,25203.67976,0,0,118210.65132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4079,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",1528740.4870000002,1251347.85046,0,277392.63654,210661.2732,0,0,66731.36334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4104,"Общество с ограниченной ответственностью ""Страховая компания КАРДИФ""",683189.1595600001,0,0,525775.80162,525775.80162,0,0,0,157413.35794,79526.83814,57359.82389,0,0,0,0,0,0,0,22167.01425,9024.3702,0,0,0,0,0,0,9024.3702,0,0,68862.1496,,0,0,0,0
4105,"Общество с ограниченной ответственностью ""Страховая компания ""СиВ Лайф""",963247.29223,909190.66215,0,54056.63008,30772.986,0,0,23283.64408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4117,"Общество с ограниченной ответственностью ""Страховая компания ""Кредит Европа Лайф""",60911.43818,0,0,60911.43818,54905.33063,0,0,6006.10755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4133,Общество с ограниченной ответственностью Страховая компания ЭчДиАй Глобал,156094.79105,0,0,315.65171,315.65171,0,0,0,155779.13934,70964.30981,0,0,0,0,12633.20046,0,0,58331.10935,0,65817.97659,0,0,0,0,0,0,65817.97659,0,18807.36694,189.486,,0,0,0,0
4179,"Общество с ограниченной ответственностью ""Страховая компания ""Райффайзен Лайф""",1045626.21502,951132.65775,0,94493.55727,74340.35911,0,0,20153.19816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",447856.33766,0,0,0,0,0,0,0,447856.33766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447856.33766,0,,0,0,0,0
4209,"Общество с ограниченной ответственностью ""Кофас Рус Страховая Компания""",291367.17938,0,0,0,0,0,0,0,291367.17938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291367.17938,0,,0,0,0,0
4293,"Общество с ограниченной ответственностью ""Страховая Компания ""Ойлер Гермес Ру""",128315.99679,0,0,0,0,0,0,0,128315.99679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128315.99679,0,,0,0,0,0
4326,"Общество с ограниченной ответственностью ""Крымская первая страховая компания""",186117.31416,0,0,35712.99798,4856.23418,0,0,30856.7638,150404.31618,147927.95145,7830.89116,0,0,281.88,0,0,0,134811.89213,5003.28816,847.76294,0,0,50.47294,12,0,0,785.29,0,475,1153.60179,,0,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",5460656.837470001,0,0,819341.17946,537203.78166,0,0,282137.3978,4135663.24919,3571263.61394,385543.42205,13810.79294,155080.90176,35414.25391,28580.65436,22767.73311,14145.10532,592874.25808,2337191.59773,258703.35125,1083.39396,69.62,36147.36413,0,1581.16954,18187.24061,201634.56301,0,100158.05906,205538.22494,,504570.66394,1004.8852,76.85968,0
4334,"Общество с ограниченной ответственностью ""Атрадиус Рус Кредитное Страхование""",643008.79962,0,0,0,0,0,0,0,643008.79962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643008.79962,0,,0,0,0,0
4358,Общество с ограниченной ответственностью «РСХБ-Страхование жизни»,2864450.60246,2786836.64709,0,77613.95537,36945.26703,0,0,40668.68834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4365,Общество с ограниченной ответственностью Страховая компания «БКС Страхование жизни»,1273590.03355,1273670.61957,0,-80.58602,0,0,0,-80.58602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4380,Общество с ограниченной ответственностью РНКБ Страхование,1748.6517900000001,0,0,710.59266,710.59266,0,0,0,1038.05913,803.80388,62.6944,0,0,0,0,0,0,588.12965,152.97983,0,0,0,0,0,0,0,0,0,0,234.25525,,0,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
