"Сведения о вознаграждении посредникам (кроме договоров страхования, заключенных путем обмена информацией в электронной форме), тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",5182822.2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1582194.32355,1382923.02874,0,0,199271.29481,2798448.50334,2537550.6089,1577616.8378,68.10348,2199.14855,6250.75953,141278.29488,718.0851,0,200512.6449,608906.73466,80321.98773,24792.70167,20.53,58.21655,3794.91145,5763.94626,834.54978,39903.55454,5153.57748,2573.29954,178002.60717,,796604.19573,2278.10334,3297.14224,
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",521299.58074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9159.20622,7354.67673,0,0,1804.52949,512140.37452,481178.17669,479975.15994,0,0,0,0,0,0,1203.01675,0,30962.19783,30962.19783,0,0,0,0,0,0,0,0,0,,0,0,0,
3229,"Акционерное общество ""Страховая бизнес группа""",586216.50569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,33888.13539,8172.66679,0,0,25715.4686,550312.00789,520034.33346,0,219.9335,7.68,0,7779.94719,0,0,511660.55867,366.2141,30250.89179,0,0,29.8577,215.01263,0,3041.1075,26872.5076,92.40636,0,26.78264,,0,744.26931,1272.0931,
3300,"Акционерное общество Страховая группа ""Спасские ворота""",101616.39832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,21666.62964,16722.93109,0,0,4943.69855,79838.99913,79179.88388,8208.38204,0,0,0,61143.45694,0,0,264.18429,9563.86061,421.75275,0,0,0,0,0,0,421.75275,0,0,237.3625,,110.76955,0,0,
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",133837.51150000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,18470.73092,10467.85786,0,0,8002.87306,115366.78058,93375.16268,0,0,0,61734.0046,469.3811,0,0,26942.03139,4229.74559,6544.70187,0,0,0,0,4652.48402,0,1892.21785,0,15443.01756,3.89847,,0,0,0,
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",17212600.62195,2928227.90056,2928240.86954,2779437.87473,107983.62915,2419387.93202,252066.31356,0,0,148802.99481,0,0,148802.99481,0,0,-12.96898,0,0,0,0,0,0,-12.96898,0,,-12.96898,0,0,0,0,0,14284372.72139,433852.45888,0,0,13850520.26251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3507,"Общество с ограниченной ответственностью ""Хоум Кредит Страхование""",231779.66066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,173369.04302,173369.04302,0,0,0,58410.61764,37313.80891,0,0,0,0,0,0,0,0,37313.80891,5399.33197,0,0,0,0,0,0,5399.33197,0,0,15697.47676,,0,0,0,
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",3674395.8702599998,3419076.64627,3419076.64627,3347073.82507,46676.52412,3266342.39099,22573.69941,11481.21055,0,72002.8212,16231.56849,0,53470.65733,2300.59538,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,255319.22399,1231.48158,0,0,254087.74241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3528,"Общество с ограниченной ответственностью ""Страховое медицинское общество ""Спасение""",532.21886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,532.21886,0,0,0,532.21886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3594,"Общество с ограниченной ответственностью ""Международная Страховая Группа""",158362.99183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,24756.85383,6425.5,0,0,18331.35383,133606.138,0,0,0,0,0,0,0,0,0,0,133606.138,0,0,0,0,0,0,0,133606.138,0,0,,0,0,0,
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",727220.5535299999,660924.79956,22014.50301,1694.86801,0,0,521.067,1173.80101,0,20319.635,0,0,5171.535,15148.1,0,638910.29655,92.663,0,0,0,0,92.663,638817.63355,0,,611750.34755,0,27067.286,51737.99685,448.173,51289.82385,14557.75712,13807.61315,0,0,750.14397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",1704189.4645800001,1523317.68072,1300025.8625,1233390.67857,0,409222.46317,824168.2154,0,0,66635.18393,0,14252.03613,52383.1478,0,0,223291.81822,223291.81822,218080.69672,0,5211.1215,0,0,0,0,,0,0,0,0,0,0,180871.78386,180869.09283,0,0,2.69103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3748,"Акционерное общество ""Русский Стандарт Страхование""",1053824.79565,793348.67183,793348.67183,793348.67183,-352.13434,687544.88133,109.83011,102757.06383,3289.0309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,260476.12382,80263.58007,0,0,180212.54375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",344289.89067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,150302.88491,146015.10975,0,0,4287.77516,193987.00576,114143.11347,112143.36411,0,0,203.41965,33.71299,0,0,1558.92543,203.69129,79794.58291,0,0,0,0,0,0,69511.24541,10283.3375,0,49.30938,,0,0,0,
3799,Общество с ограниченной ответственностью «Страховой Дом «БСД»,333997.38181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,27180.51159,1865.5185,0,0,25314.99309,306816.87022,19885.72886,1251.21192,0,0,0,12072.53336,0,0,5962.67389,599.30969,276160.3947,40.22544,0,0,0,0,4,273139.58263,2976.58663,0,10770.74666,,0,0,0,
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",6022.84595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10.8,10.8,0,0,0,6012.04595,3154.6001,0,0,0,0,0,0,0,3154.6001,0,2857.44585,0,0,0,0,0,132,2725.44585,0,0,0,,0,0,0,
3815,"Общество с ограниченной ответственностью ""СК ""Экспресс-страхование""",23888.0648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,23888.0648,0,0,0,0,0,0,0,0,0,0,3049.92067,0,0,0,0,0,0,503.02,2546.90067,0,20838.14413,,0,0,0,
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",604130.3208699999,315050.38514,251587.64657,239916.47825,0,44829.27083,195087.20742,0,0,11671.16832,0,17.219,11653.94932,0,0,63462.73857,59101.54229,29324.00451,0,29777.53778,0,0,4361.19628,0,,4361.19628,0,0,529.08027,0.05177,529.0285,288550.85546,288100.10074,0,0,450.75472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",2888668.31586,2888577.94504,2843056.97768,2276625.99783,319988.2451,0,1956637.33108,0.42165,0,566430.97985,0,0,566430.97985,0,0,45520.96736,45460.95,0,0,45460.95,0,0,60.01736,0,,60.01736,0,0,0,0,0,90.37082,90.37082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3826,"Общество с ограниченной ответственностью ""Вита-страхование""",432.6183,406.40394,394.02965,0,0,0,0,0,0,394.02965,0,0,394.02965,0,0,12.37429,0,0,0,0,0,0,12.37429,0,,12.37429,0,0,0,0,0,26.21436,26.21436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3828,"Общество с ограниченной ответственностью ""Зетта Страхование жизни""",345241.59238,46450.05431,5396.09775,2805.25173,0,0,2726.18135,0,79.07038,2590.84602,0,0,1009.62549,0,1581.22053,41053.95656,36448.91901,35877.13825,0,571.78076,0,0,4605.03755,0,,4605.03755,0,0,0.2,0,0.2,298791.33807,13142.47941,0,0,285648.85866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",44318.473690000006,44328.03285,44328.03285,10267.17542,1917.02,0,8350.15542,0,0,34060.85743,0,0,30609.05548,3451.80195,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,-9.55916,-9.55916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",218842.74959000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,70170.28051,68478.20229,0,0,1692.07822,148672.46908,138340.42145,1659.06346,0,2621.14915,0,0,2370.5047,0,10422.89395,121266.81019,10237.87641,0,0,1501.44248,0,0,1.32825,8735.10568,0,0,94.17122,,0,0,0,
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",28091.81489,20597.19875,20501.96751,284.8,0,0,284.8,0,0,20217.16751,0,0,20217.16751,0,0,95.23124,0,0,0,0,0,0,95.23124,0,,95.23124,0,0,0,0,0,7494.61614,7494.61614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",5219994.08146,5213626.13866,4713308.83547,3952438.17379,0,2922053.34962,1030161.72729,223.09688,0,760870.66168,0,0,759397.71358,1472.9481,0,500317.30319,502510.69797,502829.36793,0,-318.66996,0,0,-2193.39478,-903.66055,,-1289.75285,0.01862,0,0,0,0,6367.9428,4876.9957,0,0,1490.9471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3941,Общество с ограниченной ответственностью «ПСБ Страхование»,504073.04255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,273282.62298,139772.85663,0,0,133509.76635,230790.41957,211285.47098,55810.44475,312.34619,201.1032,23.94,22212.36249,0,0,99299.86918,33425.40517,4579.39345,8.3516,0,37.5,0,0,0,4533.54185,0,0,14925.55514,,0,0,0,
3943,"Общество с ограниченной ответственностью ""Страховая компания ""АК БАРС-Мед""",17999.28213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,17999.28213,0,0,0,17999.28213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3947,Акционерное общество «Страховая компания ГАРДИЯ»,8813.39779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,26.1435,26.1435,0,0,0,8787.25429,8688.29114,85.77794,0,0,3480.69783,2016.70794,0,0,3105.10743,0,98.96315,0,0,0,0,0,24.375,74.58815,0,0,0,,0,0,0,
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",942288.4180700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,343212.00464,193757.54224,0,0,149454.4624,580095.82668,493633.54891,140917.06152,0,0,2406.1771,287671.05393,2900.83212,638.32117,26291.90962,33446.51462,50003.91971,169.99815,0,0,4587.20484,0,10582.42282,33737.61026,926.68364,24.84,36433.51806,,18980.58675,0,0,
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",1122.06171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1122.06171,91.72403,0,0,0,0,0,0,0,91.72403,0,962.21541,0,0,0,0,0,518.24329,443.97212,0,68.12227,0,,0,0,0,
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",10925690.85379,9213928.94597,8397602.80056,7226974.61234,0,5977073.00724,1009155.50697,240746.09813,0,1170628.18822,0,49152.59147,1121476.23699,-0.64024,0,816326.14541,751151.52004,574205.56779,84972.05667,0,91973.89558,0,65174.62537,0,,48428.04895,16746.57642,0,0,0,0,1711761.90782,1143969.18815,0,0,567792.71967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",2929426.7058300003,1539627.30256,1471605.72464,1028211.52675,0,858963.53169,90313.20397,530.73622,78404.05487,443394.19789,0,0,310689.25206,398.29438,132306.65145,68021.57792,6487.80288,6218.2685,0,27.5587,0,241.97568,61533.77504,15845.79279,,45687.73025,0,0.252,37909.68999,0,37909.68999,1351889.71328,592354.14445,2446.3596,0,759535.56883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3987,"Акционерное общество «Инлайф страхование жизни""",238219.39802,238219.39802,238146.56829,225702.64829,55306.06904,157403.8945,12992.68475,0,0,12443.92,0,0,12443.92,0,0,72.82973,75,0,0,75,0,0,-2.17027,0,,-2.17027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4001,"Общество с ограниченной ответственностью Страховая компания ""Чулпан-Жизнь""",5093.8385499999995,4950.695,4950.695,9.49834,0,0,9.49834,0,0,4941.19666,0,0,4941.19666,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,141.56765,0,141.56765,1.5759,1.5759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4008,"Общество с ограниченной ответственностью ""Общество страхования жизни ""РЕСО-Гарантия""",6875.158630000001,6360.49235,6360.49235,0,0,0,0,0,0,6360.49235,0,0,6360.49235,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,514.66628,514.66628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",2458631.38668,2226822.405,2226822.405,2118753.40357,21230.90678,2060419.67516,36962.86576,139.95587,0,108069.00143,13139.38686,0,94929.61457,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,231808.98168,231283.72863,0,0,525.25305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4014,Акционерное общество «Страховая компания «Ю-Лайф»,121418.79332,95089.9861,62099.87496,56470.03133,0,0,42254.23815,14215.79318,0,5629.84363,0,0,5629.84363,0,0,32990.11114,32989.21044,32959.21044,0,30,0,0,0.9007,0,,0.9007,0,0,0,0,0,26328.80722,26189.13713,0,0,139.67009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4079,Общество с ограниченной ответственностью «РБ Страхование Жизни»,887589.12482,712064.06514,482175.16161,131155.49117,0,130768.16417,387.327,0,0,351019.67044,0,213450.40291,137569.26753,0,0,229888.90353,229322.90657,33981.1041,0,195341.80247,0,0,565.99696,0,,565.99696,0,0,0,0,0,175525.05968,135247.46663,0,0,40277.59305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4104,"Общество с ограниченной ответственностью ""Дефанс Страхование""",920537.81554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,836529.97019,836529.97019,0,0,0,84007.84535,23283.4301,16690.41504,0,0,0,0,0,0,0,6593.01506,0,0,0,0,0,0,0,0,0,0,60724.41525,,0,0,0,
4105,Общество с ограниченной ответственностью «Совкомбанк страхование жизни»,738466.9641100001,386546.72101,386546.72101,9999.46117,0,-2074.59992,10319.70907,1754.35202,0,376547.25984,0,0,367996.03769,8551.22215,0,0,0,0,0,0,0,0,0,0,,0,0,0,13936.63285,0,13936.63285,337983.61025,323484.1777,0,0,14499.43255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4117,"Общество с ограниченной ответственностью ""Страховая компания ""Кредит Европа Лайф""",59969.495989999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,56231.69667,23169.2064,0,0,33062.49027,3737.79932,7.2,0,0,0,0,0,0,0,0,7.2,3730.59932,0,0,0,0,0,0,0,3730.59932,0,0,,0,0,0,
4133,Общество с ограниченной ответственностью Страховая компания ЭчДиАй Глобал,56.8953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,56.8953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.8953,,0,0,0,
4179,"Общество с ограниченной ответственностью ""Страховая компания ""Райффайзен Лайф""",105402.2347,87029.66587,84323.03797,0,0,0,0,0,0,84323.03797,0,84323.03797,0,0,0,2706.6279,0,0,0,0,0,0,2706.6279,0,,-33.6921,0,2740.32,0,0,0,18372.56883,18392.56883,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4189,Общество с ограниченной ответственностью «Протекта Торговое Страхование»,391042.46031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,391042.46031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391042.46031,0,,0,0,0,
4209,"Общество с ограниченной ответственностью ""Кофас Рус Страховая Компания""",4407.32464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4407.32464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4407.32464,0,,0,0,0,
4293,Общество с ограниченной ответственностью «Страховая Компания Герса»,64350.25314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,64350.25314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64350.25314,0,,0,0,0,
4326,"Общество с ограниченной ответственностью ""Крымская первая страховая компания""",44029.482180000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9811.75519,7321.48531,0,0,2490.26988,34217.72699,30920.34771,2593.06969,305.5,0,1216.45154,30.50423,0,0,19211.60808,7563.21417,2146.88683,0,0,5.8,407.62075,6,2.58222,1724.88386,0,784.8,365.69245,,0,0,0,
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",9154252.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4320687.25059,2579976.60842,0,0,1740710.64217,4833072.8933,4040228.45336,998811.00273,16466.91611,29458.04151,14861.93824,81115.77478,32128.82176,26951.75035,814018.99781,2053366.96042,316964.85085,5862.91796,508.86373,376.41248,1002.00608,9724.81236,3967.46791,284313.99974,11208.37059,47189.19867,428690.39042,,0,402.91889,89.74222,
4334,Общество с ограниченной ответственностью Страховая компания «АСТК»,203405.07313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1197.85341,0,0,0,1197.85341,202207.21972,70790.92341,0,0,0,11990.07352,1409.92275,0,0,57390.92714,0,6923.62285,0,0,0,4000,0,838.915,2084.70785,0,124201.38599,291.28747,,0,0,0,
4358,Общество с ограниченной ответственностью «РСХБ-Страхование жизни»,250910.08079,80400.73712,426.7842,251.0958,0,0,0,0,251.0958,175.6884,0,0,175.6884,0,0,79973.95292,78003.97994,78003.97994,0,0,0,0,1969.97298,0,,1969.97298,0,0,0,0,0,170509.34367,109399.8459,0,0,61109.49777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4365,Общество с ограниченной ответственностью Страховая компания «БКС Страхование жизни»,148592.16353,148554.44069,32616.4409,8441.19384,0,4111.09792,3656.09592,0,674,24175.24706,0,0,24175.24706,0,0,115937.99979,110621.61603,110600.61603,0,21,0,0,5316.38376,5316.38376,,0,0,0,0,0,0,37.72284,37.72284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4380,Общество с ограниченной ответственностью РНКБ Страхование,150592.61432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,85473.62542,85473.62542,0,0,0,65118.9889,45768.61711,1240.16569,0,0,0,0,0,0,14931.96021,29596.49121,0,0,0,0,0,0,0,0,0,0,19350.37179,,0,0,0,
4404,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «СТРАХОВАЯ КОМПАНИЯ «ХАТХОР»,525.4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,525.4736,0,0,
4407,Общество с ограниченной ответственностью «ПСБ Страхование жизни»,17711.08946,17711.08946,17711.08946,17711.08946,0,0,17711.06061,0,0.02885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
"*В соответствии с Решением Совета директоров Банка России от 26.12.2023 Банк России до 31.12.2024 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с пунктом 5 статьи 28 Закона № 4015-1, в части информации раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
