"Сведения о страховых премиях в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",8540981.256819999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243766.56061,366816.56304,98923.76852,12211.35367,,1416.63924,,254264.80161,876949.99757,,,876949.99757,6213364.95057,5619083.49425,3782497.27414,3782497.27414,,252598.25993,6089.9962,29568.91467,28980.53092,588.38375,109096.75983,58321.90622,45217.55624,44178.85365,,1038.70259,,13104.34998,,,13104.34998,,1140953.81183,30749.39004,151481.41522,958723.00657,239956.57143,44387.83455,28130.13664,167438.60024,266983.08358,135803.44527,48381.37527,87422.07,,400,2641.86511,34388.14881,34350.64881,37.5,1019.0134,,,1019.0134,2508.1805,2508.1805,,79550.44219,21894.94629,,324.829,,57330.6669,10671.9883,,,510,,80.66,,,9592.43835,488.88995,94524.26334,232774.1094,53738.11589,,179035.99351,,,,,,,,,1566597.95634,18996.31538,16849.3712,,264.55,1882.39418,5394.98723,68.13474,,68.13474,89.36982,,89.36982,26.88664,106.43037,106.43037,,5104.16566,2751.6053,133.63788,1321.71686,897.20562,,,,-507139.51331
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",526976.44571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458503.1346,6440.95339,,,,,,6440.95339,452062.18121,,441260.06821,10802.113,68473.31111,66585.9806,35689.61542,35689.61542,,,,,,,29809.14917,,,,,,,,,,,,712.84828,368.65608,,344.1922,374.36773,353.84943,20.5183,,157.42156,56.714,56.714,,,,,,,,,,,,,,,100.70756,,,8.4,,92.30756,,,,,,,,,,,,1729.90895,1729.90895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,"СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""АСТРАМЕД-МС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,"Акционерное общество ""Д2 Страхование""",305623.28706999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181892.98596,169148.56431,,,,,,169148.56431,12744.42165,,,12744.42165,123730.30111,22610.22627,2669.8786,2669.8786,,,,,,,,,,,,,,,,,,,4861.141,,,4861.141,15079.20667,,11725.66328,3353.54339,58631.08072,,,,,,,,,,,,,,,,,3174.20272,,,,,3174.20272,55456.878,,,,,,,,,55456.878,,42488.99412,9537.07524,,32951.91888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,"Акционерное общество ""Московская акционерная страховая компания""",3860474.6516400003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484149.7565,534279.98746,1979.75237,9581.26041,,210654.84318,,312064.1315,949869.76904,,905389.27904,44480.49,1241204.33253,827343.28734,670109.61869,667301.33377,2808.28492,34974.58823,1181.89,294.1278,,294.1278,1524.4606,,,,,,,,,,,,52829.42439,91.25,5194.8641,47543.31029,66429.17763,1396.95287,2442.31493,62589.90983,28206.14534,12706.10123,12706.10123,,,,57.603,203.29481,203.29481,,180.27933,,,180.27933,378.62,378.62,,9169.82924,455.82964,,152.7718,29.46,8531.7678,5510.41773,,58,,,,,,,5452.41773,,385654.89985,,,385654.89985,,,,,,,,,1175770.64708,3540.11827,2947.81377,142.1,122.8895,327.315,6866.47623,,,,,,,4.42836,,,,6526.96819,2771.13121,2135.298,266.48094,1354.05804,335.07968,,,-51056.67897
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",175153.92897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16523.39748,5554.57929,,,,,,5554.57929,10968.81819,10968.81819,,,158730.72622,117226.27183,,,,,,,,,,,,,,,,,,,,,,,,,117226.27183,,,117226.27183,1319.668,,,,,,,,,,,,,,,,,1319.668,,,,,1319.668,,,,,,,,,,,,40184.78639,,,40184.78639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.19473
1587,"Акционерное общество ""Страховое общество ""Талисман""",94410.14916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.92034,429.92034,,,,,,429.92034,,,,,6801.00588,6715.01588,4234.76098,4234.76098,,,250,,,,,,,,,,,,,,,,1876.18814,,,1876.18814,354.06676,249.16092,61.62114,43.2847,85.99,,,,,,,,,,,,,,,,,85.99,,,,,85.99,,,,,,,,,,,,,,,,,,,,,,,,87179.22294,,,,,,,,,,,,,,,,,,,,,,,,,
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",15816.60989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10301.57115,10145.93715,,,,,,10145.93715,155.634,,,155.634,5515.03874,3298.14167,-87.2375,-87.2375,,,,,,,,,,,,,,,,,,,,,,,3385.37917,,,3385.37917,38.84021,,,,,,,,,,,,,,,,,38.84021,,,,,38.84021,,,,,,,,,,,,2178.05686,,,2178.05686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",35.71863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71863,,,,,,,,35.71863,,35.71863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,"Акционерное общество ""Совкомбанк страхование""",3923208.34851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280577.93003,602516.08375,907.79918,9503.7462,,968.68389,,591135.85448,678061.84628,433749.98913,235086.15211,9225.70504,2326589.03727,1149331.43118,870489.70861,870489.70861,,298.6784,,-230.00205,,-230.00205,47992.82316,,,,,,,,,,,,65969.74921,15457.26676,17034.26788,33478.21457,164810.47385,8191.75098,811.02734,155807.69553,603036.05874,10606.86573,10606.86573,,,,,,,,274.75692,,,274.75692,2435.83267,,2435.83267,584187.30468,849.00462,,59.2,51.5,583227.60006,5531.29874,,,189,,,,,80,5262.29874,1125.43838,573096.10897,35307.83851,,537788.27046,,,,,,,,,445731.26704,567.05774,567.05774,,,,343.05643,,,,,,,,,,,343.05643,,,,343.05643,,,,-130600
1820,"Акционерное общество ""ГУТА-Страхование""",12890.46819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.0213,-9.3087,,,,-9.3087,,,618.33,,533.394,84.936,12281.44689,11151.44689,,,,,,,,,1080.15767,,,,,,,,,,,,10071.28922,,,10071.28922,,,,,1130,,,,,,,,,,,,,,,,,1130,,,5,,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",4559178.068270001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574952.41342,476444.95485,10029.74425,1673.21739,2355.76805,116033.78746,73.16,346279.2777,1098507.45857,,494022.65073,604484.80784,1999399.39461,1878761.81448,1070663.0973,893785.5036,176877.5937,1672.28852,2009.8329,1489.18511,1122.59111,366.594,304417.71143,2291.67126,279.70805,,,279.70805,,2011.96321,,,2011.96321,,322674.45436,,36902.28317,285772.17119,173543.5736,35995.44633,95631.56675,41916.56052,92442.61745,7533.62667,7379.25754,,154.36913,,25.90167,3718.44434,3718.44434,,1506.16082,7.6,49.2891,1449.27172,1694.55562,1694.55562,,77305.99433,4028.39573,3389.90386,1639.78505,136.40455,68111.50514,657.934,,,,,,,,174.65,483.284,2981.35301,25213.60967,,,25213.60967,,,,,,,,,922462.64809,25283.5831,22128.52793,,380.1,2774.95517,13445.02905,389.85289,,389.85289,,,,71.57683,50.54489,50.54489,,12265.84129,1967.70695,1015.55706,4178.07852,5104.49876,-3.86591,671.07906,,23635
1858,"Акционерное общество Страховая компания ""Армеец""",346320.76714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26754.85523,8435.27563,,,,153.1859,,8282.08973,18319.5796,136.0606,13980.138,4203.381,9657.43446,6480.07968,2412.91119,2412.91119,,,,,,,4.2,,,,,,,,,,,,2015.44815,138.24244,,1877.20571,2047.52034,1739.91362,306.89172,0.715,3170.63609,,,,,,,,,,,,,,,,,3170.63609,,,,,3170.63609,,,,,,,,,,,,6.71869,2.6,,4.11869,,,,,,,,,309908.47745,,,,,,,,,,,,,,,,,,,,,,,,,
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",450102.92631999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13313.41199,13190.88699,2764.904,1.2,,,,10424.78299,122.525,,,122.525,120232.38531,37598.05286,19080.78321,19080.78321,,,,,,,12505.56466,,,,,,,,,,,,4582.05907,,,4582.05907,1429.64592,1204.55392,216.822,8.27,81991.57502,78224.24799,149.17499,78075.073,,,,,,,,,,,1077.50386,1077.50386,,2689.82317,,,,,2689.82317,,,,,,,,,,,,642.75743,,,642.75743,,,,,,,,,316557.12902,,,,,,,,,,,,,,,,,,,,,,,,,
2031,"Общество с ограниченной ответственностью ""Медицинская страховая компания ""ИНКО-МЕД""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",46513.86978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5122.14032,3300.80159,,,,113.65067,,3187.15092,1821.33873,656.68573,147.03,1017.623,41391.72946,36362.62298,27987.50784,27987.50784,,,,399.883,,399.883,39.85054,,,,,,,,,,,,5483.17925,3905.8459,,1577.33335,2452.20235,1781.53518,393.51863,277.14854,4138.91207,290.32,290.32,,,,,,,,,,,,3228.53493,25.45,3203.08493,560.05714,,,23.5,,536.55714,60,,,,,,,,60,,,890.19441,,,890.19441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",29783.44872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12484.48295,9480.57415,,,,,,9480.57415,3003.9088,,,3003.9088,17298.96577,16996.05932,6420.50684,,6420.50684,,,,,,40.95391,587.25175,,,,,,587.25175,,,587.25175,,2904.18066,,,2904.18066,7043.16616,5864.32605,361.7919,817.04821,302.90645,,,,,,,,,,,,,,,,,302.90645,,,,,302.90645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",652.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.498,-0.498,,,,,,-0.498,,,,,652.5,652.5,,,,,,,,,,,,,,,,,,,,,652.5,,,652.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,"Акционерное общество ""АльфаСтрахование""",37640683.06085001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9539374.42214,2779330.76704,,339923.17891,2202.93875,221991.12595,,2215213.52343,6760043.6551,168321.89981,6385422.21647,206299.53882,20020352.63785,16350629.13695,6734639.59256,6734639.59256,,14419.97855,176331.43115,475858.22004,419449.17049,56409.04955,400405.6576,435175.62451,406546.38053,111725.79078,,294820.58975,,28629.24398,,,28629.24398,,4463842.02734,23790.60363,694999.55925,3745051.86446,3649956.6052,1005769.04684,48514.40576,2595673.1526,1788532.18789,233056.10961,47818.51118,185237.59843,,,36580.97152,74866.26535,61464.57436,13401.69099,1148.39985,1148.39985,,,63810.34752,52136.31519,11674.03233,1369042.85434,61936.44864,3132.13824,11667.79992,1778.10425,1290528.36329,10027.2397,,3271.49735,,,,-22.50352,,612,6166.24587,377591.77275,1503599.54026,393986.87568,,1109612.66458,,,,,,,,,7971066.12339,77493.66921,64994.41603,7173.58499,565.18194,4760.48625,32396.20826,58.78679,,58.78679,3411.5177,3411.5177,,,356.00168,345.24304,10.75864,28079.63708,16545.49901,9395.08756,850.36364,1288.68687,490.26501,,,
2346,"Акционерное общество ""Объединенная страховая компания""",538598.1582500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86204.75146,26803.40325,4.4838,,,2289.18039,,24509.73906,59401.34821,1013.59495,21133.53506,37254.2182,225924.715,213062.76764,184928.15099,182521.95389,2406.1971,,29.25,175.9597,,175.9597,3545.39496,,,,,,,,,,,,15866.03248,7171.51116,13.24286,8681.27846,8517.97951,4543.91234,1090.66768,2883.39949,5772.85846,637.58339,637.58339,,,,41.306,88.472,88.472,,8.1,,,8.1,1648.50418,161.97,1486.53418,3027.38772,13.24286,,17.5,7.6,2989.04486,321.50517,,,,,,,,315.48917,6.016,,7089.0889,519.16494,,6569.92396,,,,,,,,,226468.23242,0.45937,0.45937,,,,,,,,,,,,,,,,,,,,,,,
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",1813017.5238900003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565770.3669,272563.73556,40508.5856,,1609.22255,2805.45879,,227640.46862,293206.63134,43.23586,,293163.39548,1009272.96933,870935.7133,347124.19748,347124.19748,,694.68178,,60537.0519,14458.81144,46078.24046,149869.47062,707.17838,672.06123,672.06123,,,,35.11715,35.11715,,,,216944.17586,9174.28819,43371.94797,164397.9397,95058.95728,88597.46907,159.34768,6302.14053,111906.74428,3417.65101,3417.65101,,,,121,26392.84593,,26392.84593,,,,,30250.22229,3252.92295,26997.29934,51724.40108,4913.56468,,,107.15128,46703.68512,0.62397,,,,,,,,0.62397,,9550.70075,16879.811,981.52379,,15898.28721,,,,,,,,,118082.09023,1644.49986,1166.92692,9.64294,146.47,321.46,1402.16085,,,,,,,27.37472,266.9539,266.9539,,1107.83223,436.11493,198.05199,122.83777,350.82754,,,,116845.43672
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",1480880.4404199999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405854.59469,383670.78819,,,,3907.67143,,379763.11676,22183.8065,,5279.3765,16904.43,99305.91717,94737.34708,58346.97629,58346.97629,,,,342.684,,342.684,1371.17688,5.25,,,,,,5.25,,,5.25,,12343.55966,,,12343.55966,22327.70025,4982.77618,2336.50633,15008.41774,4568.57009,55.6,55.6,,,,,,,,,,,,206.82,13.5,193.32,4293.86009,574.55,,,,3719.31009,12.29,,,,12.29,,,,,,,,,,,,,,,,,,,975719.92856,,,,,,,,,,,,,,,,,,,,,,,,,
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",554304.71313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148930.54667,142420.54667,,,,,,142420.54667,6510,,3185,3325,405374.16646,101428.13329,101428.13329,101428.13329,,,,,,,,,,,,,,,,,,,,,,,,,,,974.10499,974.10499,974.10499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302971.92818,,,302971.92818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,"Акционерное общество ""Чрезвычайная страховая компания""",11.72038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72038,,,,,,,,,,,,,,,,,11.72038,,,,,11.72038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",97400.51434999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50238.27787,35231.65811,1969.81776,,,26054.18496,,7207.65539,15006.61976,,14557.50403,449.11573,47161.89937,47095.64937,30550.76744,30550.76744,,,,,,,695.01619,,,,,,,,,,,,15165.28758,,,15165.28758,684.57816,152.57307,6.11862,525.88647,66.25,,,,,,,,,,,,,,,,,66.25,,,,,66.25,,,,,,,,,,,,,,,,,,,,,,,,0.33711,,,,,,,,,,,,,,,,,,,,,,,,,
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",44945.10275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513.37564,3461.26879,,,,3461.26879,,,52.10685,,52.10685,,41431.72711,33752.42434,,,,,33681.22142,,,,71.20292,,,,,,,,,,,,,,,,,,,,5802.36466,,,,,,5704.32492,,,,,,,,,,,98.03974,,,,,98.03974,,,,,,,,,,,,1876.93811,,,1876.93811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
