"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",0,0,28.08,28.08,0,0,0,71689.10423,59008.26932,0,0,0,0,45052.83815,0,0,13955.43117,0,12680.83491,0,0,0,0,0,735,11945.83491,0,0,0,,0,0,0,
3815,"Общество с ограниченной ответственностью ""СК ""Экспресс-страхование""",0,0,0,0,0,0,0,19712.077,0,0,0,0,0,0,0,0,0,0,3073.8182,0,0,0,0,0,0,1179.2,1894.6182,0,16638.2588,,0,0,0,
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",5748190.35122,66588.65336,1133103.14071,1117818.69674,0,0,15284.44397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",67347456.68178,68.1067,124059.12045,124059.12045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3826,"Общество с ограниченной ответственностью ""Вита-страхование""",113951.90221,0,1877.31405,1877.31405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3828,"Общество с ограниченной ответственностью Страховая компания ""Альянс Жизнь""",6325058.74484,384.16458,8206258.53027,186440.70518,0,0,8019817.82509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",0,0,150905.399,6114.07079,5286.03275,0,144791.32821,133199.04147,62146.60073,2002.48613,0,4415.70788,34862.77888,3769.85856,0,0,15732.22031,1363.54897,50254.11546,0,0,122.8445,30701.71061,0,298,6951.35123,12180.20912,0,20798.32528,,0,0,0,
3837,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-М""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",2367945.72629,0,18176.65217,18170.1625,0,0,6.48967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",0,0,237149.0161,235490.86971,0,0,1658.14639,598089.30317,505981.83858,12667.72464,0,9774.55232,0,62.191,20371.13326,0,33119.14197,429987.09539,90875.40443,7.7,0,7135.3029,0,0,24.72,83707.68153,0,0,1232.06016,,0,0,0,
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",291094.22731,0,38984.36344,38984.36344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",20877185.51443,0,295352.54479,241577.1904,0,0,53775.35439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3941,"Общество с ограниченной ответственностью ""СМП-Страхование""",0,0,527484.54269,368764.39908,0,0,158720.14361,214917.51769,206247.85869,69722.71205,879.61898,-132.5514,617.967,987.52951,0,0,115534.06483,18638.51772,3940.66257,9.4,0,0,0,0,0,3931.26257,0,0,4728.99643,,0,0,0,
3943,"Общество с ограниченной ответственностью ""Страховая компания ""АК БАРС-Мед""",0,0,90248.52604,0,0,0,90248.52604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3947,"Акционерное общество ""АИГ страховая компания""",0,0,0,0,0,0,0,679977.85084,184015.87899,0,0,0,0,86963.1859,0,0,97052.69309,0,198925.41427,887.16401,0,0,0,0,0,198038.25026,0,0,297036.55758,,0,263.455,0,
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",0,0,964898.56359,279313.74517,0,0,685584.81842,1157376.93753,967390.58993,267133.42791,0,0,145891.41754,247672.09747,149330.24576,141195.96069,104865.54355,52497.8577,168063.73376,1632.36749,0,0,53405.55814,0,36342.50521,75535.80292,1147.5,0,21922.61384,,773513.3355,0,0,
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",105693566.00349,0,2367053.34606,1521293.2807,0,0,845760.06536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",18197272.99842,194147.61141,3811506.16147,2672679.93524,20803.88671,0,1138826.22623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3987,"Акционерное общество Страховая компания ""УРАЛСИБ Жизнь""",7319509.58953,0,144.52492,0,0,0,144.52492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3998,"Общество с ограниченной ответственностью ""Страховая Компания Чабб Жизнь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4001,"Общество с ограниченной ответственностью Страховая компания ""Чулпан-Жизнь""",414801.90719,2361.57998,4.6665,4.6665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4008,"Общество с ограниченной ответственностью ""Общество страхования жизни ""РЕСО-Гарантия""",109931.60392,0,7301.99773,7301.99773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4009,"Акционерное общество ""ЕРВ Туристическое Страхование""",0,0,827877.9607,888.24347,0,0,826989.71723,962289.16908,708.78617,0,0,0,0,0,0,0,0,708.78617,239.08214,0,0,0,0,0,0,239.08214,0,0,961341.30077,,0,0,0,
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",2503959.35076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4014,"Акционерное общество ""Страховая компания ""Югория-Жизнь""",1684471.16629,0,348448.3147,305816.80985,0,0,42631.50485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4079,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",10051521.00099,0,2230953.57235,2006484.80463,0,0,224468.76772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4104,"Общество с ограниченной ответственностью ""Страховая компания КАРДИФ""",0,0,5285251.9356,5285251.9356,0,0,0,1183861.12671,635685.83496,311324.47876,0,0,0,0,0,0,0,324361.3562,216537.84555,0,0,0,0,0,0,216537.84555,0,0,331637.4462,,0,0,0,
4105,"Общество с ограниченной ответственностью ""Страховая компания ""СиВ Лайф""",6969104.27843,0,237838.55668,142865.69223,0,0,94972.86445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4117,"Общество с ограниченной ответственностью ""Страховая компания ""Кредит Европа Лайф""",0,0,405730.13041,387872.44128,0,0,17857.68913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4133,Общество с ограниченной ответственностью Страховая компания ЭчДиАй Глобал,0,0,1985.48297,1985.48297,0,0,0,243638.47999,127071.5653,0,0,0,0,53236.07761,0,0,73835.48769,0,89763.02484,0,0,0,0,0,41638.5477,48124.47714,0,25469.56785,1334.322,,0,0,0,
4179,"Общество с ограниченной ответственностью ""Страховая компания ""Райффайзен Лайф""",4553087.14535,0,294437.80391,246891.80391,0,0,47546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",0,0,0,0,0,0,0,1514094.63052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514094.63052,0,,0,0,0,
4209,"Общество с ограниченной ответственностью ""Кофас Рус Страховая Компания""",0,0,0,0,0,0,0,672426.26195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672426.26195,0,,0,0,0,
4293,"Общество с ограниченной ответственностью ""Страховая Компания ""Ойлер Гермес Ру""",0,0,0,0,0,0,0,778397.38566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778397.38566,0,,0,0,0,
4326,"Общество с ограниченной ответственностью ""Крымская первая страховая компания""",0,0,124931.56099,14384.6615,0,0,110546.89949,246361.56574,230464.96275,28689.95347,0,766.62332,13283.74392,0,0,0,169846.7302,17877.91184,12461.40275,0,0,385.23474,8785.63295,24,46,3220.53506,0,2611,824.20024,,0,0,0,
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",0,0,2715805.92802,2173298.99936,0,0,542506.92866,18242591.96593,16210740.17594,323449.89947,2398.49617,72434.06402,8245.30285,54796.39788,126644.0091,104842.24946,1099170.56023,14523601.44622,1005872.60071,968.78774,106.8528,23231.45976,0,28268.02965,15384.54702,937912.92374,0,135145.00499,890834.18429,,199682.95055,838.325,30.74387,
4334,"Общество с ограниченной ответственностью ""Атрадиус Рус Кредитное Страхование""",0,0,0,0,0,0,0,2222010.19803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2222010.19803,0,,0,0,0,
4358,Общество с ограниченной ответственностью «РСХБ-Страхование жизни»,12667737.05376,0,523712.72506,89162.61749,0,0,434550.10757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4365,Общество с ограниченной ответственностью Страховая компания «БКС Страхование жизни»,7265283.74161,0,9178.44502,586.56,0,0,8591.88502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4380,Общество с ограниченной ответственностью РНКБ Страхование,0,0,0,0,0,0,0,2076.7542,2076.7542,206.6755,0,0,0,0,0,0,1870.0787,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
