"Сведения о страховых премиях по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
3941,"Общество с ограниченной ответственностью ""СМП-Страхование""",83704.05623,0,0,11871.71689,11871.71689,0,0,0,71832.33934,68742.29266,15167.49667,164.357,5078.23806,2181.59097,1595.78644,0,0,41693.03984,2861.78368,1824.93092,0,0,0,0,0,305.61158,0,0,1519.31934,0,0,1265.11576,,0,0,0,0
3947,"Акционерное общество ""АИГ страховая компания""",3566838.89749,0,0,0,0,0,0,0,3564873.10995,1396061.64188,0,0,0,0,573469.4955,0,0,822592.14638,0,1059608.5026,280.24634,280.24634,0,0,0,0,0,0,1059328.25626,0,0,1109202.96547,,0,1965.78754,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",341712.81796,0,0,201390.24098,2748.8385,0,0,198641.40248,140322.57698,112017.35801,1342.28333,0,0,6831.90143,16333.30766,81274.7673,73749.51722,6195.87255,39.22574,27702.0271,0,0,0,0,0,17932.86531,0,5163.14638,4606.01541,0,3.19187,600,,0,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",3223370.5157399997,0,0,63869.66552,63869.66552,9672.36294,0,0,3159500.85022,1950955.65521,0,0,0,0,166467.19684,0,0,1776357.36536,8131.09301,742911.91212,0,0,0,0,0,0,0,6435.42413,736476.48799,0,365234.01555,100399.26734,,0,0,0,0
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",691249.64216,570067.50066,0,121182.1415,65093.57701,0,0,56088.56449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",47357.86963,26739.92412,0,20617.94551,10595.98575,0,0,10021.95976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3987,"Акционерное общество Страховая компания ""УРАЛСИБ Жизнь""",6941.39814,6941.39814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3998,"Общество с ограниченной ответственностью ""Страховая Компания Чабб Жизнь""",400.96134,0,0,400.96134,400.96134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4008,"Общество с ограниченной ответственностью ""Общество страхования жизни ""РЕСО-Гарантия""",-17.7533,0,0,-17.7533,-17.7533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4009,"Акционерное общество ""ЕРВ Туристическое Страхование""",37497.6931,0,0,15016.10134,95.3216,0,0,14920.77974,22481.59176,0,0,0,0,0,0,0,0,0,0,22481.59176,0,0,0,0,0,0,0,0,0,22481.59176,0,0,,0,0,0,0
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",17436.19537,17436.19537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4014,"Акционерное общество ""Страховая компания ""Югория-Жизнь""",1978.3099,1824.11584,0,154.19406,154.19406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4079,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",45285.981530000005,10770.72546,0,34515.25607,2221.2926,0,0,32293.96347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4104,"Общество с ограниченной ответственностью ""Страховая компания КАРДИФ""",19630.30352,0,0,6271.78501,6271.78501,0,0,0,13358.51851,6538.8391,0,0,0,0,0,0,0,0,6538.8391,0,0,0,0,0,0,0,0,0,0,0,0,6819.67941,,0,0,0,0
4105,"Общество с ограниченной ответственностью ""Страховая компания ""СиВ Лайф""",208342.24549,145593.11685,0,62749.12864,44295.98065,0,0,18453.14799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4117,"Общество с ограниченной ответственностью ""Страховая компания ""Кредит Европа Лайф""",28616.78566,0,0,28616.78566,28616.78566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4133,Общество с ограниченной ответственностью Страховая компания ЭчДиАй Глобал,1209640.34705,0,0,5348.82329,5348.82329,0,0,0,1204291.52376,788334.84278,0,0,0,0,312873.59758,0,0,475461.2452,0,324722.95155,0,0,0,0,0,0,0,134961.97491,189760.97664,0,91233.72943,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",1861304.02495,0,0,2182.4243,2594.35265,0,0,-411.92835,1859121.60065,1771273.43757,181521.44384,419.39163,32523.73306,13136.74633,46856.70752,151806.59602,0,1345008.81917,0,86555.42003,8099.1596,1392.41074,0,0,15120.4585,0,0,0,61590.27326,1745.52867,0,1292.74305,,0,0,0,0
4179,"Общество с ограниченной ответственностью ""Страховая компания ""Райффайзен Лайф""",132231.79153,83066.92595,0,49164.86558,15760.40094,0,0,33404.46464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",1389546.42401,0,0,0,0,0,0,0,1389546.42401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383297.25693,6249.16708,,0,0,0,0
4209,"Общество с ограниченной ответственностью ""Кофас Рус Страховая Компания""",502479.3576,0,0,0,0,0,0,0,502479.3576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502479.3576,0,,0,0,0,0
4293,"Общество с ограниченной ответственностью ""Страховая Компания ""Ойлер Гермес Ру""",1039593.0464,0,0,0,0,0,0,0,1039593.0464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039593.0464,0,,0,0,0,0
4326,"Общество с ограниченной ответственностью ""Крымская первая страховая компания""",370374.41398,0,0,0,0,0,0,0,370374.41398,313380.22333,4423.38839,9994.65834,2502.23876,138532.76453,7455.54097,0,0,150342.31514,129.3172,56994.19065,0,0,0,0,177.32459,49700.51591,0,0,7116.35015,0,0,0,,0,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",6821052.30281,0,0,253362.11381,632.56351,0,0,252729.5503,6566066.74443,5775196.32477,3349.82456,4293.89386,443938.14814,56727.56175,26255.93784,112046.95701,92207.18497,5108813.89094,19770.11067,605071.98409,0,0,0,0,281533.93112,0,7755.9059,210.44187,313285.65093,2286.05427,78786.34587,107012.0897,,0,853.61666,769.82791,0
4334,"Общество с ограниченной ответственностью ""Атрадиус Рус Кредитное Страхование""",2601607.8975,0,0,0,0,0,0,0,2601607.8975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601607.8975,0,,0,0,0,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",565168.6775,0,0,0,0,0,0,0,565168.6775,489582.14263,0,0,0,571.05036,0,0,0,489011.09227,0,39979.91118,0,0,0,0,39858.96634,0,0,194.29135,143.64359,-216.9901,0,35606.62369,,0,0,0,0
4358,Общество с ограниченной ответственностью «РСХБ-Страхование жизни»,10677.079889999999,10672.57641,0,4.50348,4.50348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4359,"Некоммерческая корпоративная организация Потребительское общество взаимного страхования ""Страховой дом ""Платинум""",3265.43864,0,0,0,0,0,0,0,3265.43864,3265.43864,2947.79645,0,0,0,0,0,0,310.44219,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4360,"Некоммерческая корпоративная организация Потребительское общество взаимного страхования ""Эталон""",6569.40912,0,0,0,0,0,0,0,6569.40912,6569.40912,6569.40912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4372,Общество с ограниченной ответственностью «Страховая компания «Манго»,13870.79451,0,0,0,0,0,0,0,13870.79451,11536.75688,0,0,0,0,0,0,0,0,11536.75688,2334.03763,0,0,0,0,0,0,0,0,2334.03763,0,0,0,,0,0,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",871325.77934,0,0,0,0,0,0,0,871325.77934,667380.42693,0,10525.67842,46038.64232,12206.54649,10805.36245,5414.0129,0,554899.08343,27491.10092,86637.99601,0,0,0,0,35612.43411,4335.87457,0,0,34113.85434,12575.83299,93101.28788,24206.06852,,0,0,0,0
4379,"Некоммерческая корпоративная организация ""Потребительское общество взаимного страхования транспортной отрасли""",4311.186,0,0,0,0,0,0,0,4311.186,2649.79481,190.2237,0,0,0,2451.87109,0,0,7.70002,0,1661.39119,0,0,0,0,0,0,0,0,0,1661.39119,0,0,,0,0,0,0
4380,Общество с ограниченной ответственностью РНКБ Страхование,4213.57125,0,0,0,0,0,0,0,4213.57125,4213.57125,0,0,0,0,0,0,0,4213.57125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
