"Сведения о вознаграждении посредникам, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",5213668.13998,73635.4141,9010.07271,9010.07271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3826,"Общество с ограниченной ответственностью ""Вита-страхование""",11713.65364,-3e-05,392.25187,392.25187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3828,"Общество с ограниченной ответственностью Страховая компания ""Альянс Жизнь""",323146.10057,0,482319.85541,29062.15108,0,0,453257.70433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",0,0,92132.08954,2547.71799,2114.4131,0,89584.37155,50822.10053,22279.64026,606.3239,0,357.40994,16944.607,767.49114,0,0,2999.77886,604.02942,19579.89087,0,0,6.77972,13370.92265,0,74,3032.54096,3095.64754,0,8962.5694,,0,0,0
3837,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-М""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",916648.58882,0,16166.14967,16165.50071,0,0,0.64896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",0,0,110658.22544,109891.50695,0,0,766.71849,204835.91205,173785.81371,3979.02463,0,2588.05036,0,12.4382,4247.88861,0,10031.22546,152927.18645,30386.7138,1.848,0,1071.82542,0,0,2.0706,29310.96978,0,0,663.38454,,0,0,0
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",42902.18711,0,11356.18816,11356.18816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",1205325.10935,0,40414.44936,32646.49966,0,0,7767.9497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3941,"Общество с ограниченной ответственностью ""СМП-Страхование""",0,0,252051.89649,221351.8801,0,0,30700.01639,68713.7511,64355.76253,15999.24451,110.69023,-6.62757,100.03095,311.88611,0,0,38988.47199,8852.06631,1513.49509,2.37,0,0,0,0,0,1511.12509,0,0,2844.49348,,0,0,0
3943,"Общество с ограниченной ответственностью ""Страховая компания ""АК БАРС-Мед""",0,0,17928.10172,0,0,0,17928.10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3947,"Акционерное общество ""АИГ страховая компания""",0,0,0,0,0,0,0,98026.23221,24074.41583,0,0,0,0,19886.32007,0,0,4188.09576,0,33928.56476,80.32632,0,0,0,0,0,33848.23844,0,0,40023.25162,,0,12.40302,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",0,0,389543.4857,186755.92746,0,0,202787.55824,595597.08278,501987.22537,132416.84482,0,0,51846.62459,146135.27921,31074.78525,27349.1671,108747.14368,31766.54782,81239.6549,454.25261,0,0,20156.96377,0,19799.71849,40814.14503,14.575,0,12370.20251,,77772.6606,0,0
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",53307438.0836,0,949500.8292,798421.78728,0,0,151079.04192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",2246368.85554,23343.6668,1994313.70323,1645942.77303,7803.94116,0,348370.9302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3987,"Акционерное общество Страховая компания ""УРАЛСИБ Жизнь""",929247.81892,0,55.4416,0,0,0,55.4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3998,"Общество с ограниченной ответственностью ""Страховая Компания Чабб Жизнь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4001,"Общество с ограниченной ответственностью Страховая компания ""Чулпан-Жизнь""",10581.11952,77.81982,0.83997,0.83997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4008,"Общество с ограниченной ответственностью ""Общество страхования жизни ""РЕСО-Гарантия""",11974.3858,0,930.90695,930.90695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4009,"Акционерное общество ""ЕРВ Туристическое Страхование""",0,0,33001.47637,7.42891,0,0,32994.04746,184866.27583,37.3044,0,0,0,0,0,0,0,0,37.3044,15.82811,0,0,0,0,0,0,15.82811,0,0,184813.14332,,0,0,0
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",987465.6155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4014,"Акционерное общество ""Страховая компания ""Югория-Жизнь""",359360.9361,0,249879.3116,249790.98368,0,0,88.32792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4079,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",3237735.78498,0,1548869.56638,1422825.21131,0,0,126044.35507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4104,"Общество с ограниченной ответственностью ""Страховая компания КАРДИФ""",0,0,4174243.01829,4174243.01829,0,0,0,641637.03084,297612.61955,32453.59902,0,0,0,0,0,0,0,265159.02053,182815.59445,0,0,0,0,0,0,182815.59445,0,0,161208.81684,,0,0,0
4105,"Общество с ограниченной ответственностью ""Страховая компания ""СиВ Лайф""",416282.08851,0,29715.22528,20875.33265,0,0,8839.89263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4117,"Общество с ограниченной ответственностью ""Страховая компания ""Кредит Европа Лайф""",0,0,360910.14943,358268.00647,0,0,2642.14296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4133,Общество с ограниченной ответственностью Страховая компания ЭчДиАй Глобал,0,0,378.9819,378.9819,0,0,0,28759.15834,13159.29857,0,0,0,0,4639.76756,0,0,8519.53101,0,12264.33961,0,0,0,0,0,5669.75332,6594.58629,0,3335.52016,0,,0,0,0
4179,"Общество с ограниченной ответственностью ""Страховая компания ""Райффайзен Лайф""",443344.01329,0,80507.94498,65398.64498,0,0,15109.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",0,0,0,0,0,0,0,225235.1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225235.1048,0,,0,0,0
4209,"Общество с ограниченной ответственностью ""Кофас Рус Страховая Компания""",0,0,0,0,0,0,0,92940.35487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92940.35487,0,,0,0,0
4293,"Общество с ограниченной ответственностью ""Страховая Компания ""Ойлер Гермес Ру""",0,0,0,0,0,0,0,108843.6514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108843.6514,0,,0,0,0
4326,"Общество с ограниченной ответственностью ""Крымская первая страховая компания""",0,0,27219.35193,4335.50012,0,0,22883.85181,47479.85474,43587.29624,7002.72174,0,91.9948,1843.78295,0,0,0,27474.35905,7174.4377,2557.65048,0,0,80.4687,1074.68023,6,12.61,1383.89155,0,1044.4,290.50802,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",0,0,2054715.86963,1602139.84071,0,0,452576.02892,4475002.09083,3649878.38013,122281.92743,843.15631,9171.36328,617.81727,7851.4774,19242.92826,13943.5481,492099.27654,2997770.43364,264953.27017,344.80292,32.05584,3176.44766,0,3134.3045,11057.14189,247208.51736,0,60909.62423,499260.8163,,45682.1262,83.8325,3.07439
4334,"Общество с ограниченной ответственностью ""Атрадиус Рус Кредитное Страхование""",0,0,0,0,0,0,0,330183.41648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330183.41648,0,,0,0,0
4358,Общество с ограниченной ответственностью «РСХБ-Страхование жизни»,647491.9605,0,226145.37764,44512.03984,0,0,181633.3378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4365,Общество с ограниченной ответственностью Страховая компания «БКС Страхование жизни»,583457.07483,0,1188.62971,551.3664,0,0,637.26331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4380,Общество с ограниченной ответственностью РНКБ Страхование,0,0,0,0,0,0,0,770.34199,770.34199,76.6342,0,0,0,0,0,0,693.70779,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
