"Сведения о страховых суммах по договорам страхования, действовавшим на конец отчетного периода, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
1216,"Акционерное общество Страховая компания ""Чулпан""",229338363341.41898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111981952.91527,4009461.52585,,,,1824141.34869,,2185320.17716,107972491.38942,4262.304,107968229.08542,,47644980.50372,44000590.8466,4514997.1927,4514997.1927,,,,28671.23254,,28671.23254,43600,14680.5,,,,,,14680.5,,,14680.5,,22533687.39724,,13155594.0357,9378093.36154,16864954.52412,2810872.42238,13652838.61177,401243.48997,3521894.07158,111760,111760,,,,22500,128980,,128980,94929.685,29000,,65929.685,8800,,8800,3143924.38658,501058.866,,5270,100,2637495.52058,11000,,,,,,,,11000,,,122495.58554,,,122495.58554,,,,,,,,,,25055000,18585000,540000,5090000,840000,229153681408,,,,,,,,4538368,4538368,,229149143040,5098741760,59295907840,5204439040,159550054400,,,
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",341466147450.0293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3696847302.46594,1083029662.62159,18101141.34,491500,,,,1064437021.28159,2613817639.84435,1332474268.24435,1131195371.6,150148000,5182952891.56334,3172663564.83403,635962161.65924,635962161.65924,,535729.0522,,9192701.29648,9192701.29648,,1111805427.91164,,,,,,,,,,,,953122152.81469,185786163.56691,97584952.27278,669751036.975,462045392.09978,58513327.61511,326300576.36396,77231488.12071,305439037.44082,137642104.9875,137642104.9875,,,,,56273.8,56273.8,,,,,,6805671.06763,6805671.06763,,160884987.58569,12806059.34643,,1410100,212908.001,146455920.23826,50000,,,,,,,,50000,,,1704850289.28849,364444274.9867,,1340406014.30179,,,,,,,,,,27915000,18875000,420000,470000,8150000,332558432256,38467584000,,38467584000,,,,133810176,84514816,62003200,22511616,238741796864,9886107648,61112954880,5075587072,162667147264,55130726400,,
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",316372414626.5468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2557317677.48224,947479970.30515,62092053,5645095.54,1258000,2272311.0965,,876212510.66865,1609837707.17709,,,1609837707.17709,6194502357.06458,4732902909.07186,615668630.97303,615668630.97303,,1316385980.10137,3069134.30688,56783719.12604,55539002.60609,1244716.51995,23363032.37596,27317132.39965,23668739.31768,19106801.60047,,4561937.71721,,3648393.08197,43708.652,,3604684.42997,,2380993237.67841,119593735.45401,342559650.70927,1918839851.51513,309322042.11052,53580976.83616,30118408.36644,225622656.90792,1353509603.20437,49680430.12065,49680430.12065,,,40000,2350390.31463,1192218476.07909,1191622959.221,595516.85809,1979112.82075,2000,,1977112.82075,4607578,2294578,2313000,99790638.71589,59358432.6728,,2891400,,37540806.04309,2842977.15336,,,796312.5,,79755,60366.283,,922600,983943.37036,16059047.24575,92030797.5426,288111.096,,91742686.4466,,,,,,,,,,70530000,47500000,,1680000,21350000,307550064592,5265612800,,5265612800,581193728,480577536,100616192,198780928,1987022848,1984565248,2457600,299517454288,10794588160,16092819408,57507045376,215123001344,,,
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",275326267.51137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258464823.49112,3548985.89934,,,,2389297,,1159688.89934,254915837.59178,,253471789.04255,1444048.54923,16861444.02025,13101783.27044,6511574.88,6511574.88,,,,,,,3877899.32262,,,,,,,,,,,,1910438.98262,,755900.086,1154538.89662,801870.0852,779015.7662,22854.319,,464748.53781,110925,110925,,,,,,,,,,,,2000,,2000,351823.53781,,,131600,,220223.53781,,,,,,,,,,,,3294912.212,3294912.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,"СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""АСТРАМЕД-МС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,74,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,"Акционерное общество ""Д2 Страхование""",113167057.5735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79240660.92375,40520261.96976,2730.64,,,,,40517531.32976,38720398.95399,19164.16399,,38701234.79,33926396.64975,14550107.50001,1289284.324,1289284.324,,,,,,,,,,,,,,,,,,,5446572.755,,,5446572.755,7814250.42101,,7675909.395,138341.02601,10519585.963,,,,,,,,,,,,,,,,,2654477.928,,,,,2654477.928,7865108.035,,,,,,,,,7865108.035,,8856703.18674,41659.69796,,8815043.48878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,"Акционерное общество ""Московская акционерная страховая компания""",415078928972.5528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957722112.70048,1640599481.30984,9371791.60205,7037850,,1368172980.77,,256016858.93779,317122631.39064,,306622511.39064,10500120,3892989523.85229,3668689358.64248,142926214.51531,141770868.6733,1155345.84201,118873025.11361,37000,433848.18609,,433848.18609,904019.23867,,,,,,,,,,,,1574709228.08436,151683.19317,41465937.54869,1533091607.3425,1830806023.50444,2910618.39805,2251251.05752,1825644154.04887,123684181.62095,55431340.75974,55431340.75974,,,,45705.4,434219.66556,434219.66556,,5257849.36684,,,5257849.36684,172600,172600,,47501075.63975,36435284.54781,10000,1249500,65000,9741291.09194,14841390.78906,,4606.35,,,,14145.94,,,14822638.49906,,100615983.58886,18124.05725,,100597859.53161,,,,,,,,,,23595000,15955000,305000,600000,6735000,409204622336,4811161600,4811161600,,,,,25190400,81305600,81305600,,290609319936,22433756160,64387196245.3333,5025792000,198762575530.667,73677644800,40000000000,
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",1042002201.8097999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654374016.75823,38712707.86823,,,,,,38712707.86823,615661308.89,615661308.89,,,387628185.05157,276665729.71055,,,,,,,,,,,,,,,,,,,,,,,,,276665729.71055,,,276665729.71055,6900200,,,,,,,,,,,,,,,,,6900200,,,,,6900200,,,,,,,,,,,,104062255.34102,,,104062255.34102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,"Акционерное общество ""Страховое общество ""Талисман""",8674302.47886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261594.08241,261594.08241,,,,,,261594.08241,,,,,8412708.39645,8314528.39645,592029.97867,592029.97867,,,26000,,,,,4314263.98794,3647879.926,2671461.859,,976418.067,,666384.06194,,,666384.06194,,2850869.09662,,,2850869.09662,531365.33322,455957.08322,37386.35,38021.9,98180,,,,,,7000,,,,,,,,,,,91180,,,,,91180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",1264578826.3702302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255061617.09348,39096917.09348,,,,,,39096917.09348,1215964700,,,1215964700,9517209.27675,5397631.49381,7800,7800,,,,,,,,,,,,,,,,,,,,,,,5389831.49381,,,5389831.49381,1888500,,,,,,,,,,,,,,,,,1888500,,,,,1888500,,,,,,,,,,,,2231077.78294,,,2231077.78294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,"Акционерное общество ""Совкомбанк страхование""",11657868351.05222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2151576188.51584,387449999.79384,78511.4416,10933950,,7102747.79025,,369334790.56199,1764126188.722,1361024080.5319,357309342.9651,45792765.225,3215559114.53638,2753852281.14826,153984455.16554,153984455.16554,,1335751.25057,,171484.66267,,171484.66267,1603314.32902,,,,,,,,,,,,384244276.74252,66638449.31175,47506996.05851,270098831.37226,2212512998.99794,13472887.4082,2699974.09511,2196340137.49463,206590107.53069,8754481.485,8754481.485,,,,,21688,,21688,1184095.80901,,,1184095.80901,3661761.4264,,3661761.4264,190796782.39383,2570257.97977,,271600,587000,187367924.41406,2171298.41645,,,280000,,,,,5500,1885798.41645,6427343.5823,248689382.27513,72495457.34072,,176193924.93441,,,,,,,,,,4395000,4395000,,,,6286338048,,,,,,,,,,,6286338048,,,,6286338048,,,
1820,"Акционерное общество ""ГУТА-Страхование""",51563871.47765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356312.01614,37312.01614,,,,37312.01614,,,319000,,306000,13000,51207559.46151,49709792.71566,764180.22924,,764180.22924,,,117408.92437,,117408.92437,135748.09724,3393574.3,3393574.3,3393574.3,,,,,,,,,44719503.42978,,37212,44682291.42978,579377.73503,579377.73503,,,1497493.6224,,,,,,,86805.8,,86805.8,,,,,,,,1394000,,,7000,,1387000,16687.8224,,,,,,16187.8224,,500,,,273.12345,,,273.12345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",770117633997.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554901414.435,1143153128.481,119607181.548,1292333.541,9512000,242121179.571,687.5,770619746.321,1411748285.954,,247950801.895,1163797484.059,3836973257.738,3499450443.876,278952102.122,193281439.667,85670662.455,8894948.281,359543.428,1438990.279,1283635.683,155354.596,906032650.191,14310802.973,10892449.692,4001063.655,,6891386.037,,3418353.281,,,3418353.281,,1814641199.334,,900011478.305,914629721.029,474820207.268,56076507.674,268178688.439,150565011.155,253931271.367,25497103.727,20963389.727,,4533714,30000,30500,4049062.584,4049062.584,,5581213.728,65350,2738.284,5513125.444,7052453.205,7052453.205,,210517034.891,76142638.329,6903600,18139800.011,726945,108604051.551,1173903.232,,,,,,65945.316,,128000,979957.916,5243966.812,78347575.683,,,78347575.683,,,,,,,,,,128365000,89105000,,3830000,35430000,763597394325,22658130000,,22658130000,,,,243087075,952142850,945974700,6168150,584911724400,38573149725,89524271925,25688947500,431125355250,31000725000,123831585000,
1858,"Акционерное общество Страховая компания ""Армеец""",17146655.14606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5036077.79646,2974234.59468,,,,37441,,2936793.59468,2061843.20178,129833.739,125161.46278,1806848,12110577.3496,8990797.19983,1001662.542,1001662.542,,,,,,,,,,,,,,,,,,,5714416.97536,96303.96923,,5618113.00613,2274717.68247,2062365.03757,207820.4334,4532.2115,3094338.88975,1000,1000,,,,958.8,,,,2628.995,2628.995,,,,,,3084451.09475,,,,,3084451.09475,5300,,,,5300,,,,,,,25441.26002,,,25441.26002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",176546821.08760002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27638397.22025,26084497.22025,20071074.1295,1190,,,,6012233.09075,1553900,,,1553900,148908423.86735,142784796.79203,27625136.48963,27625136.48963,,,,840,,840,104374138.29358,,,,,,,,,,,,8743317.97165,,,8743317.97165,2041364.03717,1841206.0711,167799.26366,32358.70241,5127833.02985,461900,461900,,,,,1000,,1000,,,,,1382741.06826,1382741.06826,,3282191.96159,,,,,3282191.96159,,,,,,,,,,,,995794.04547,,,995794.04547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,"Общество с ограниченной ответственностью ""Медицинская страховая компания ""ИНКО-МЕД""",4385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4385,,,,,,,,4385,,4385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",78575610.01968999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26860094.91289,7369250.77576,,,,1247185.08444,,6122065.69132,19490844.13713,5385144.117,168182.64413,13937517.376,51715515.1068,41108103.27772,6702703.55153,6702703.55153,,,,47519.526,,47519.526,46542.68,,,,,,,,,,,,23070195.58998,2756456.90899,11067.07499,20302671.606,11241141.93021,10232194.30828,667057.98393,341889.638,8152615.45481,357800,357800,,,,,31598.1,,31598.1,,,,,6200550,25500,6175050,1518525.52751,4399.721,,149900,,1364225.80651,44141.8273,,,,,,,,35500,8641.8273,,2454796.37427,,,2454796.37427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",78467043.52216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12593892.04144,9221171.52244,,,,,,9221171.52244,3372720.519,,,3372720.519,65873151.48072,65730337.07072,31709425.81058,,31709425.81058,,,,,,14801431,127814.769,,,,,,127814.769,,,127814.769,,9224108.28072,,,9224108.28072,9867557.21042,9010438.17079,220150.66696,636968.37267,142544.735,,,,,,,,,,,,,,,,,142544.735,,,,,142544.735,,,,,,,,,,,,269.675,,,269.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",305877.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760,5760,,,,,,5760,,,,,300117.512,300117.512,,,,,,,,,135850,,,,,,,,,,,,163500,,,163500,767.512,,,767.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,"Акционерное общество ""АльфаСтрахование""",2324965752690.8623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25533843866.6326,4468390769.92417,,4050464.80413,1201556000,998786855.76437,,2263997449.35567,21065453096.7084,1495664328.62236,18350212326.1687,1219576441.91736,62959628256.2296,29184458900.2982,1273183716.24031,1273183716.24031,,179389271.21036,2155311468.4061,367159851.16008,328484456.71171,38675394.44837,3694186567.34653,209305795.54827,112169404.64605,18736835.70545,,93432568.9406,,97136390.90222,,,97136390.90222,,19251119718.1889,167201768.95622,2977363556.19049,16106554393.0422,2054802512.1977,1802631989.75236,45438264.50165,206732257.94369,28897352996.6708,548527952.51357,548527952.51357,,,,25694421428.6565,1254455830.29501,1201478749.78001,52977080.515,20807705.41118,20807705.41118,,,109112974.57588,90043751.749,19069222.82688,1263755181.27583,276505388.35352,10052250.001,81664429.206,23794057.107,871739056.60831,6271923.94285,,1050116.15994,,,,258623.56183,,148500,4814684.22108,1720875282.55458,3156941076.70603,2892684609.49442,587586.068,263668881.14361,,,,,,,,,,341995000,249605000,15940000,10350000,66100000,2236130285568,1066577989632,29970432,1066548019200,408014848,408014848,,230246400,5163786240,4963829760,199956480,1044362907648,68258340864,319800809472,118529794048,537773963264,51263283200,68124057600,
2346,"Акционерное общество ""Объединенная страховая компания""",182869139.52021998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76153205.3805,21886971.86561,1000,,,3204669.674,,18681302.19161,54266233.51489,976072.43632,37082322.00064,16207839.07793,106715934.13972,92797837.23769,28546947.71916,27946907.67016,600040.049,,14475,909163.602,413297.17,495866.432,940770.88364,34102.97828,,,,,,34102.97828,,,34102.97828,,45874616.19153,18903996.29779,144694.65523,26825925.23851,16477760.86308,6459134.68055,1613959.66816,8404666.51437,9089933.69533,930900,930900,,,,1110274.3,1621919.6,1114744.5,507175.1,4000,,,4000,2814449.07121,298325.41033,2516123.66088,2579737.3852,11372.3252,,15000,5000,2548365.06,28653.33892,,,,,,,,26500,2153.33892,,4828163.2067,4667.51,,4823495.6967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",37082993347.95316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847506757.20851,338057574.20638,76302695.37,,14390000,1995500.258,,245369378.57838,1509449183.00213,1654961.3,,1507794221.70213,1758692214.74465,1385887191.79683,78055714.29516,78055714.29516,,1228606.75985,,67783461.62875,11640209.07428,56143252.55447,99574830.237,16898596.0916,15110036.6836,14879181.4706,,230855.213,,1788559.408,1788559.408,,,,836367770.50636,34516093.36527,211779560.79487,590072116.34622,285978212.27811,271657765.98902,258139.95148,14062306.33761,328843986.36223,12329314.312,12329314.312,,,,53120,155858013.91,,155858013.91,,,,,93043055.08379,12557759.93315,80485295.15064,67553930.05644,6844357.15047,,,429615.8,60279957.10597,6553,,,,,,,,4500,2053,37983592.42724,5977444.15835,1045.54434,,5976398.61401,,,,,,,,,,9685000,5525000,10000,720000,3430000,33467109376,,,,,,,85526528,1479020544,1385156608,93863936,31902562304,1686165504,6878617600,4757913600,18579865600,,,
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",985348871.70125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814373247.24058,620887660.80117,,,,12453315.5,,608434345.30117,193485586.43941,16332.5,39598813.41941,153870440.52,170975624.46067,168382597.99841,98844633.514,98844633.514,,,,715250,,715250,4044692.23912,280,,,,,,280,,,280,,42445948.75965,,,42445948.75965,22331793.48564,6802444.40003,3543863.55661,11985485.529,2593026.46226,42800,42800,,,,,84720,,84720,,,,,32634.462,1500,31134.462,2367808.20026,1205500,,,,1162308.20026,65063.8,,,,65000,,,,,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
