"Сведения о страховых премиях по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
3941,"Общество с ограниченной ответственностью ""СМП-Страхование""",98575.45602,0,0,4816.58296,4816.58296,0,0,0,93758.87306,89902.17906,5208.58599,356.79742,2614.56535,1263.66196,1416.36239,0,0,76780.90365,2261.3023,3026.444,0,0,0,0,21.42509,299.96203,0,0,2705.05688,0,0,830.25,,0,0,0,0
3947,"Акционерное общество ""АИГ страховая компания""",693075.93009,0,0,0,0,0,0,0,692405.97828,282593.73808,0,0,0,0,142981.95157,0,0,139611.78651,0,221792.1296,1329.05848,1329.05848,0,0,0,0,0,0,220463.07112,0,0,188020.1106,,0,669.95181,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",361086.28251,0,0,273947.57452,1337.97512,0,0,272609.5994,81597.32067,77402.84786,1153.09,0,0,-37.93025,5584.00909,70202.49074,67113.40652,428.9915,72.19678,4194.47283,0,0,0,0,0,-1112.95977,0,206.41488,-1e-05,5101.01773,0,-2e-05,,5541.38732,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",650176.98869,0,0,18920.94429,18920.94429,8971.36527,0,0,631256.0444,283400.45066,0,0,0,0,95819.02676,0,0,187032.77358,548.65032,286674.21595,0,0,0,0,0,0,0,1268.20305,285406.0129,0,45590.33978,15591.03801,,0,0,0,0
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",-625182.04767,-498325.63047,0,-126856.4172,-111888.30469,0,0,-14968.11251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",9188.037690000001,5590.60087,0,3597.43682,3597.43682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3987,"Акционерное общество Страховая компания ""УРАЛСИБ Жизнь""",2162.29971,2162.29971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3998,"Общество с ограниченной ответственностью ""Страховая Компания Чабб Жизнь""",101.10575,0,0,101.10575,101.10575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",16512.16702,16512.16702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4014,Акционерное общество «Страховая компания «Ю-Лайф»,4788.24169,4007.67101,0,780.57068,19.4065,0,0,761.16418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4079,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",11240.6108,1520.62176,0,9719.98904,253.39543,0,0,9466.59361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4104,"Общество с ограниченной ответственностью ""Страховая компания КАРДИФ""",4945.14811,0,0,2037.02159,2037.02159,0,0,0,2908.12652,84.30053,0,0,0,0,0,0,0,0,84.30053,0,0,0,0,0,0,0,0,0,0,0,0,2823.82599,,0,0,0,0
4105,Общество с ограниченной ответственностью «Совкомбанк страхование жизни»,126977.08236,90370.72012,0,36606.36224,25046.12721,0,0,11560.23503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4117,"Общество с ограниченной ответственностью ""Страховая компания ""Кредит Европа Лайф""",15953.94323,0,0,15953.94323,15953.94323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4133,Общество с ограниченной ответственностью Страховая компания ЭчДиАй Глобал,749615.61566,0,0,3217.69809,3217.69809,0,0,0,746397.91757,469261.56427,0,0,0,0,197098.98502,0,0,272162.57925,0,220732.08881,0,0,0,0,0,0,0,99650.19847,121081.89034,0,56404.26449,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",961070.37751,0,0,7928.62255,4262.78185,0,0,3665.8407,953141.75496,914378.70302,129329.34733,-622.3374,-4214.4978,14925.28183,15818.72575,-8353.84685,0,767496.03016,0,33943.01899,-122.11167,734.96284,0,0,-885.64575,0,0,0,33797.02458,1153.75183,0,4820.03295,,0,0,0,0
4179,"Общество с ограниченной ответственностью ""Страховая компания ""Райффайзен Лайф""",-3692.2966099999976,-23209.19721,0,19516.9006,8305.59921,0,0,11211.30139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",861888.15051,0,0,0,0,0,0,0,861888.15051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859725.61632,2162.53419,,0,0,0,0
4209,"Общество с ограниченной ответственностью ""Кофас Рус Страховая Компания""",250781.12446,0,0,0,0,0,0,0,250781.12446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250781.12446,0,,0,0,0,0
4293,"Общество с ограниченной ответственностью ""Страховая Компания ""Ойлер Гермес Ру""",234340.24482,0,0,0,0,0,0,0,234340.24482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234340.24482,0,,0,0,0,0
4326,"Общество с ограниченной ответственностью ""Крымская первая страховая компания""",268920.46719999996,0,0,20.2102,20.2102,0,0,0,268900.257,215431.74304,8372.49193,6102.73903,0,51827.03808,5169.3087,0,0,143901.59333,58.57197,53468.51396,0,0,0,0,0,41960.66717,3330.78904,0,8177.05775,0,0,0,,0,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",1919407.9747300001,0,0,-15701.09406,1532.76823,0,0,-17233.86229,1862679.07982,870811.21897,4104.04437,11047.35484,126332.24122,93657.94504,24221.35611,143781.81429,109882.39212,467508.36369,158.09941,267344.02446,1071.29772,0,0,0,27310.01238,12787.75002,14004.77708,19.48626,212150.701,0,631748.055,92775.78139,,69498.98484,1044.7545,1886.24963,0
4334,"Общество с ограниченной ответственностью ""Атрадиус Рус Кредитное Страхование""",1226551.37726,0,0,0,0,0,0,0,1226551.37726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226551.37726,0,,0,0,0,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",-130392.17762,0,0,0,0,0,0,0,-130392.17762,-104580.92875,0,0,0,0,0,0,0,-104580.92875,0,-155.51851,0,0,0,0,0,0,0,-154.7507,-0.76781,0,0,-25655.73036,,0,0,0,0
4358,Общество с ограниченной ответственностью «РСХБ-Страхование жизни»,5593.865320000001,5590.79549,0,3.06983,3.06983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4359,"Некоммерческая корпоративная организация Потребительское общество взаимного страхования ""Страховой дом ""Платинум""",52.67636,0,0,0,0,0,0,0,52.67636,52.67636,52.67636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4360,"Некоммерческая корпоративная организация Потребительское общество взаимного страхования ""Эталон""",19.77785,0,0,0,0,0,0,0,19.77785,19.77785,19.77785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4365,Общество с ограниченной ответственностью Страховая компания «БКС Страхование жизни»,595.17079,582.64359,0,12.5272,0,0,0,12.5272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4372,Общество с ограниченной ответственностью «Страховая компания «Манго»,12760.71998,0,0,0,0,0,0,0,12760.71998,12500.33004,0,0,0,0,0,0,0,0,12500.33004,260.38994,0,0,0,0,0,0,0,0,260.38994,0,0,0,,0,0,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",76167.99753,0,0,0,0,0,0,0,76167.99753,75457.60898,0,-835.67744,-17094.85998,826.17846,383.17632,0,0,91540.17731,638.61431,-10398.80422,0,0,0,0,-12343.92063,228.88164,0,0,2170.25337,-454.0186,5965.36255,5143.83022,,0,0,0,0
4379,"Некоммерческая корпоративная организация ""Потребительское общество взаимного страхования транспортной отрасли""",10288.71842,0,0,0,0,0,0,0,10288.71842,5391.21561,2071.7951,0,0,0,3319.42051,0,0,0,0,4897.50281,0,0,0,0,0,0,0,0,0,4897.50281,0,0,,0,0,0,0
4380,Общество с ограниченной ответственностью РНКБ Страхование,5895.61109,0,0,0,0,0,0,0,5895.61109,5684.28679,46.90114,0,0,0,0,0,0,5637.38565,0,75.49698,0,0,0,0,0,0,0,0,75.49698,0,0,135.82732,,0,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
