"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде (с учетом изменений), в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
1208,"Акционерное общество ""Страховое общество газовой промышленности""",8142960771063.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,18671754328.6095,7395624132.76684,4786925204.88966,3196520.8,0,2206023883.18835,0,399478523.88883,11276130195.8426,0,10376788679.5649,899341516.27775,76536789177.473,61762782410.0247,853255458.89093,709542986.08265,143712472.80828,740736033.50883,562815053.17499,164465064.39154,160189147.3189,4275917.07264,2485943133.98138,6510525.17129,3536329.44293,0,0,3536329.44293,0,2974195.72836,0,0,2974195.72836,0,54582947538.7711,0,1975162004.57146,52607785534.1997,2366109602.13463,73471555.21923,64334.15907,2292573712.75633,10444777134.515,45046511.202,45046511.202,0,0,162000,4779996319.84493,4017642152.059,4007808492.839,9833659.22,299092886.49855,1082478.40754,1137421.20754,296872986.88347,158750071.71496,125637182.75262,33112888.96234,1142482214.96334,101498996.76101,2515500,2356830,566900,1035543988.20233,1604978.23221,,0,311000,0,0,0,,15500,1278478.23221,3397587993.04237,931641639.89094,531776580.87221,0,399865059.01873,,,,,,,,,0,948047500,687087500,90650000,84190000,86120000,8046804180057,2069570853578,479561334032,1590009519546,804855926,487100070,317755856,80883088,4410937195,4398615083,12322112,5129035692254,131129717623,1475381227553,86242503928,3436282243150,288172695536,554728262480,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",261003396651.19397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,17916480930.1811,6280942769.75229,17963557.7824,809911.0725,268000,5940174112.28686,0,321727188.61053,11635538160.4288,387712608.5958,10016070479.807,1231755072.026,6328292321.01288,5761464133.30548,787443345.18225,787443345.18225,0,22659993.43435,0,60071.96,60071.96,0,2258492338.49463,1843993.466,915739.233,0,0,915739.233,0,928254.233,0,0,928254.233,0,1348307517.57538,0,226710955.67658,1121596561.8988,1342656873.19287,418045965.17985,207338439.36645,717272468.64657,427247299.78478,84697443.864,84697443.864,0,0,0,1920,315136.6,184836.8,130299.8,20255698.336,572029.336,0,19683669,16839302.228,16839302.228,0,287634815.20632,28778930.2895,0,23301002.01,2689400,232865482.90682,17502983.55046,,0,0,0,0,0,,6000,17496983.55046,61181354.5148,78399533.40782,684014.00393,4314871.69068,73400647.71321,,,,,,,,,0,387752500,217405000,7467500,8180000,154700000,236370870900,33904208475,0,33904208475,0,0,0,102951000,713648475,708762150,4886325,201650062950,17035796475,66894771375,36519585075,81199910025,0,0,0
1216,"Акционерное общество Страховая компания ""Чулпан""",3592703764.40382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,8542351.09949,4825261.38456,0,0,0,1301214.806,0,3524046.57856,3717089.71493,85640.7388,3619654.58367,11794.39246,24227709.30433,22533814.47824,2609230.6749,2609230.6749,0,0,0,20665.4853,0,20665.4853,5042931.74727,8299.2,0,0,0,0,0,8299.2,0,0,8299.2,0,3573667.5166,0,6877.112,3566790.4046,11279019.85417,5617962.4952,5505867.47369,155189.88528,1661623.00507,43915,43915,0,0,0,8200,128980,0,128980,18561.687,12000,0,6561.687,0,0,0,1436466.31807,289977.112,0,5270,10050,1131169.20607,25500,,0,0,0,0,0,,25500,0,0,32271.82102,0,0,32271.82102,,,,,,,,,0,28725000,17410000,15000,10560000,740000,3531208704,0,0,0,0,0,0,0,6051840,0,6051840,3525156864,651980800,1552723968,1320452096,0,0,0,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",256983795376.7035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3767133933.1953,1258143295.12422,73146234.4276,149584850,0,0,0,1035412210.69662,2508990638.07108,1688780430.07108,477076998,343133210,11629400499.5082,8534896363.7962,760904929.30017,760904929.30017,0,7625968.06307,0,4152165.07896,4152165.07896,0,6787990051.87446,0,0,0,0,0,0,0,0,0,0,0,596565668.84416,76039838.36888,65332800.50161,455193029.97367,377657580.63538,39846462.4628,279356956.03178,58454162.1408,585007481.25857,73816316.9,73816316.9,0,0,0,0,94322.8,94322.8,0,0,0,0,0,3056040,3056040,0,508039301.55857,3346589.6966,0,407500,14350,504270861.86197,1500,,0,0,0,0,0,,500,1000,0,2509496654.45347,562062983.98704,0,1947433670.46643,,,,,,,,,0,43370000,26955000,6315000,320000,9780000,241543890944,45264896000,0,45264896000,0,0,0,252233728,1161216,0,1161216,154778566656,11904147456,66666999808,4188803072,72018616320,41247033344,0,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",112569939351.45602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2536142455.19571,1674900419.20026,1117992409.28186,51318215.04719,0,867678.7572,0,504722116.11401,861242035.99545,0,520833065.35043,340408970.64502,3384905572.26031,2290585610.7606,424289288.2514,424289288.2514,0,309625417.64258,3284562.32255,74856659.72083,73358575.12405,1498084.59678,554429663.82008,42904067.1792,37038306.33395,31531405.98295,0,5506900.351,0,5865760.84525,1001.238,0,5864759.60725,0,696514251.12702,51082808.80038,158351218.63036,487080223.69628,184681700.69694,12612858.16819,12692744.60201,159376097.92674,1043868044.36259,28332570,28332570,0,0,0,2193773.3367,962551988.83933,961673704.43285,878284.40648,3415898.40639,0,0,3415898.40639,1529946.31079,1529946.31079,0,44844857.99708,16830137.42659,0,732730,0,27281990.57049,999009.4723,,0,340000,0,10500,0,,317000,331509.4723,4741214.77627,45710702.36085,4411245.09769,0,41299457.26316,,,,,,,,,0,53997500,36097500,0,1340000,16560000,106594893824,0,0,0,107270144,0,107270144,78370816,1175324672,1171331072,3993600,105233928192,5165137920,3752386560,21083604992,75232798720,0,0,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",329295390.55111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,173413768.65767,616847.58567,0,0,0,187095,0,429752.58567,172796921.072,0,172333541.168,463379.904,155881621.89344,151601771.89344,3429240.341,3429240.341,0,0,0,0,0,0,147057377.45092,0,0,0,0,0,0,0,0,0,0,0,778257.47612,202545.25111,0,575712.22501,336896.6254,321986.4864,14910.139,0,169800,37200,37200,0,0,0,0,0,0,0,0,0,0,0,62100,62100,0,70500,0,0,0,0,70500,0,,0,0,0,0,0,,0,0,0,4110050,4110050,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,АКЦИОНЕРНОЕ ОБЩЕСТВО «АСТРАМЕД-МС» (СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ),74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",408761043.41342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,196704474.34481,130941539.04381,972230.38,0,0,0,0,129969308.66381,65762935.301,33276998.513,0,32485936.788,212056569.06861,24764999.25275,7188484.40362,7188484.40362,0,0,0,0,0,0,4400151.96923,0,0,0,0,0,0,0,0,0,0,0,9941144.11327,0,0,9941144.11327,3235218.76663,0,3061459.95746,173758.80917,8555055.25585,461250,461250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239006.65385,0,0,0,0,1239006.65385,6854798.602,,0,0,0,0,0,,31500,6823298.602,0,178736514.56001,380162.50693,0,178356352.05308,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",177666426008.08878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3418737607.78066,3415979261.45866,11083817.15565,1616400,0,2375538186.7,0,1027740857.60301,2758346.322,0,2122553.322,635793,3443922076.30812,3358515480.2381,51008289.28475,50460416.02319,547873.26156,86528969.98824,10000,176964.04008,0,176964.04008,4556616.93596,0,0,0,0,0,0,0,0,0,0,0,170052818.12632,0,4652688.16418,165400129.96214,3046181821.86275,1313081.82091,971032.99621,3043897707.04563,35624024.05841,13895370.8011,13895370.8011,0,0,0,45380.4,193293.5,193293.5,0,3228603.46318,0,0,3228603.46318,228250,228250,0,9361868.33697,2732465.469,2147100,479400,10000,3992902.86797,8671257.55716,,5000,0,0,0,0,,0,8666257.55716,2013332.79534,47769239.21627,10959822.19045,0,36809417.02582,,,,,,,,,0,23272500,15142500,85000,370000,7675000,170780493824,0,0,0,0,0,0,0,99381248,99381248,0,129717657600,17262512469.3333,22538352981.3333,1186095104,88730697045.3333,40963454976,0,0
1580,Общество с ограниченной ответственностью «РБ Страхование»,204491442.69298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,75895243.36827,30041620.71677,0,0,0,0,0,30041620.71677,45853622.6515,45853622.6515,0,0,128596199.32471,123586892.52471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123586892.52471,0,0,123586892.52471,2861900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2861900,0,0,0,0,2861900,0,,0,0,0,0,0,,0,0,0,2147406.8,0,0,2147406.8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",2609218.36788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,548881.172,548881.172,0,0,0,0,0,548881.172,0,0,0,0,2060337.19588,2003687.19588,90166.927,90166.927,0,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613969.3602,0,0,1613969.3602,270550.90868,239407.10643,16052.60225,15091.2,56650,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,51650,0,0,0,0,51650,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",6704892625.831591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,5429220034.83625,979348400.86225,655886756.2764,0,0,0,0,323461644.58585,4449871633.974,3287543633.974,0,1162328000,1275672590.99534,444964440.10374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444964440.10374,0,0,444964440.10374,457658077.2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457658077.2464,0,0,0,0,457658077.2464,0,,0,0,0,0,0,,0,0,0,373050073.6452,19952.81041,0,373030120.83479,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",23031267278.59697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3802986722.85867,781938192.66172,27054685.30365,11631750,0,124615319.885,0,618636437.47307,3021048530.19695,2751098531.2069,172246073.45785,97703925.5322,10978114915.7383,10600762195.1667,229251053.09489,229251053.09489,0,2554345.456,0,0,0,0,1834178424.2644,0,0,0,0,0,0,0,0,0,0,0,550928739.37977,104209779.06766,70351804.60843,376367155.70368,7983849632.97161,9947922.22556,3100093.87071,7970801616.87534,167921641.59668,17505704,17505704,0,0,0,0,0,0,0,3980035.99306,0,0,3980035.99306,1882500.51046,0,1882500.51046,142081287.01117,61709608.98128,0,20300,79000,80272378.02989,2472114.08199,,0,210000,0,0,0,,5000,2257114.08199,160039370.63879,49391708.33616,3445856.23691,0,45945852.09925,,,,,,,,,0,4805000,4805000,0,0,0,8245360640,0,0,0,0,0,0,0,0,0,0,8245360640,0,0,0,8245360640,0,0,0
1820,"Акционерное общество ""ГУТА-Страхование""",37217230.21425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1980000,1572000,0,0,0,1572000,0,0,408000,0,397000,11000,35237230.21425,34577230.21425,19386.13615,0,19386.13615,0,0,0,0,0,8413052.79366,0,0,0,0,0,0,0,0,0,0,0,26144791.28444,0,0,26144791.28444,0,0,0,0,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660000,0,0,0,0,660000,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",337462699980.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1029119186.769,805202480.026,124106478.72,5476100,1986000,103759185.148,3283,569871433.158,223916706.743,0,41058819.472,182857887.271,1091211568.403,978787991.875,117643325.947,111912725.702,5730600.245,3379208.258,285152,861034.779,685798.549,175236.23,150465310.861,13491353.843,12074104.811,7469803.241,0,4604301.57,0,1417249.032,0,0,1417249.032,0,507096650.204,0,97802590.702,409294059.502,185565955.983,31336924.358,129599083.213,24629948.412,96358323.281,6783104.028,6139002.06,0,644101.968,30000,24800,6123832.338,6123832.338,0,2971457.614,1050,0,2970407.614,2383418.1,2383418.1,0,76962720.736,9367054.845,3189130,7391000.001,24700,56990835.89,1078990.465,,0,0,0,0,0,,287500,791490.465,3903219.027,12162034.22,0,0,12162034.22,,,,,,,,,0,131060000,92240000,0,2720000,36100000,335211309225,0,0,0,0,0,0,180903375,817458075,810753300,6704775,308095915275,77072897250,35356965750,19454782500,176211269775,9863775000,16253257500,0
1858,"Акционерное общество Страховая компания ""Армеец""",4985896.3257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,644929.31899,434564.45399,0,0,0,59245,0,375319.45399,210364.865,81864.865,0,128500,4340967.00671,3357277.00671,2096000,2096000,0,0,0,0,0,0,10343.92778,0,0,0,0,0,0,0,0,0,0,0,545380.3448,93621.64285,0,451758.70195,705552.73413,615041.79013,88330.354,2180.59,983690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983690,5500,0,0,0,978190,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",81289224.94948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,57732390.73058,37303014.44558,4487808.566,0,0,0,0,32815205.87958,20429376.285,0,0,20429376.285,23556834.2189,21940437.41805,10905843.179,10905843.179,0,0,0,0,0,0,4768242.58096,0,0,0,0,0,0,0,0,0,0,0,5301907.17349,0,0,5301907.17349,964444.4846,861286.82132,91643.46428,11514.199,1599429.84175,113800,113800,0,0,0,0,0,0,0,601639.84175,0,0,601639.84175,627500,100000,527500,252990,0,0,0,0,252990,3500,,0,0,0,0,0,,3500,0,0,16966.9591,0,0,16966.9591,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
